canonical_id,name,type,aliases,gold_name,homepage,doi,source
5106042,Kabongosalomon/task-dataset-metric-nli-extraction:,Software,kabongosalomon/task-dataset-metric-nli-extraction:,nli,,10.5281/zenodo.5106042,Zenodo
14219405,Natural Language Inference: A Spanish Case,Dataset,natural language inference: a spanish case,standford natural language inference,,10.5281/zenodo.14219405,Zenodo
8104814,Natural Language Inference Dataset for Software Engineering,Dataset,natural language inference dataset for software engineering,standford natural language inference,,10.5281/zenodo.8104814,Zenodo
8025041,Natural Language Inference Dataset for Software Engineering,Dataset,natural language inference dataset for software engineering,standford natural language inference,,10.5281/zenodo.8025041,Zenodo
11000349,Dataset for: Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks,Dataset,dataset for: lessons from the use of natural language inference (nli) in requirements engineering tasks,standford natural language inference,,10.5281/zenodo.11000349,Zenodo
4478267,Variational Inference for Learning Representations of Natural Language Edits,Dataset,variational inference for learning representations of natural language edits,standford natural language inference,,10.5281/zenodo.4478267,Zenodo
12249320,SNLI Dataset used in CellularLint,Dataset,snli dataset used in cellularlint,snli,,10.5281/zenodo.12249320,Zenodo
15244857,suhaibani/geometry: v1.0 - Initial Release of The Geometry of Meaning,Software,suhaibani/geometry: v1.0 - initial release of the geometry of meaning,snli,,10.5281/zenodo.15244857,Zenodo
10533148,GAP interatomic potential for SnOx nanoparticles,Dataset,gap interatomic potential for snox nanoparticles,snli,,10.5281/zenodo.10533148,Zenodo
14219405,Natural Language Inference: A Spanish Case,Dataset,natural language inference: a spanish case,multi natural language inference,,10.5281/zenodo.14219405,Zenodo
8104814,Natural Language Inference Dataset for Software Engineering,Dataset,natural language inference dataset for software engineering,multi natural language inference,,10.5281/zenodo.8104814,Zenodo
8025041,Natural Language Inference Dataset for Software Engineering,Dataset,natural language inference dataset for software engineering,multi natural language inference,,10.5281/zenodo.8025041,Zenodo
11000349,Dataset for: Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks,Dataset,dataset for: lessons from the use of natural language inference (nli) in requirements engineering tasks,multi natural language inference,,10.5281/zenodo.11000349,Zenodo
4478267,Variational Inference for Learning Representations of Natural Language Edits,Dataset,variational inference for learning representations of natural language edits,multi natural language inference,,10.5281/zenodo.4478267,Zenodo
4110593,BERTs of a feather do not generalize together: Large variability in generalization across models with similar test set performance,Dataset,berts of a feather do not generalize together: large variability in generalization across models with similar test set performance,mnli,,10.5281/zenodo.4110593,Zenodo
14051896,matthewwolak/gremlin: v1.1.0 Release to CRAN 2024 November 4,Software,matthewwolak/gremlin: v1.1.0 release to cran 2024 november 4,mnli,,10.5281/zenodo.14051896,Zenodo
14590935,"[Dataset] NICE: Non-Functional Requirements Identification, Classification, and Explanation Using Small Language Models",Dataset,"[dataset] nice: non-functional requirements identification, classification, and explanation using small language models",mnli,,10.5281/zenodo.14590935,Zenodo
843535,Supplementary Data: A global fit of the MSSM with GAMBIT (arXiv:1705.07917),Dataset,supplementary data: a global fit of the mssm with gambit (arxiv:1705.07917),mnli,,10.5281/zenodo.843535,Zenodo
843496,Supplementary Data: Global fits of GUT-scale SUSY models with GAMBIT (arXiv:1705.07935),Dataset,supplementary data: global fits of gut-scale susy models with gambit (arxiv:1705.07935),mnli,,10.5281/zenodo.843496,Zenodo
7252272,aesuli/NLI-Abstract-Dataset: NLI Abstract Dataset v1.0,Software,aesuli/nli-abstract-dataset: nli abstract dataset v1.0,fever-nli,,10.5281/zenodo.7252272,Zenodo
5106042,Kabongosalomon/task-dataset-metric-nli-extraction:,Software,kabongosalomon/task-dataset-metric-nli-extraction:,fever-nli,,10.5281/zenodo.5106042,Zenodo
4589007,Data and models for Blue Brain Search,Dataset,data and models for blue brain search,fever-nli,,10.5281/zenodo.4589007,Zenodo
7185249,Calculated structures of РТТА-nLi and Cartesian coordinates,Dataset,calculated structures of ртта-nli and cartesian coordinates,fever-nli,,10.5281/zenodo.7185249,Zenodo
11259147,"Miniaturization and expansion of the contactless temperature measurement system. Facial temperatures in relation to age, pulse and gender.",Dataset,"miniaturization and expansion of the contactless temperature measurement system. facial temperatures in relation to age, pulse and gender.",fever-nli,,10.5281/zenodo.11259147,Zenodo
7791805,eduar03yauri/DCGAN-text2face-forSpanish: Generative Adversarial Networks for Text-to-Face Synthesis & Generation: A Quantitative-Qualitative Analysis of Natural Language Processing Encoders for Spanish,Software,eduar03yauri/dcgan-text2face-forspanish: generative adversarial networks for text-to-face synthesis & generation: a quantitative-qualitative analysis of natural language processing encoders for spanish,adversarial natural language inference,,10.5281/zenodo.7791805,Zenodo
14219405,Natural Language Inference: A Spanish Case,Dataset,natural language inference: a spanish case,adversarial natural language inference,,10.5281/zenodo.14219405,Zenodo
8104814,Natural Language Inference Dataset for Software Engineering,Dataset,natural language inference dataset for software engineering,adversarial natural language inference,,10.5281/zenodo.8104814,Zenodo
7038455,"Supplementary materials of the paper entitled: ""Generating Natural Language Requirements via Adversarial Examples in Deep Learning""",Dataset,"supplementary materials of the paper entitled: ""generating natural language requirements via adversarial examples in deep learning""",adversarial natural language inference,,10.5281/zenodo.7038455,Zenodo
17140194,PathOS Case Study on Effects of Data Repositories on Data Usage - Replication data,Dataset,pathos case study on effects of data repositories on data usage - replication data,anli,,10.5281/zenodo.17140194,Zenodo
7737402,LOFAR VLBI common workflow language pipeline,Software,lofar vlbi common workflow language pipeline,ace-arg,,10.5281/zenodo.7737402,Zenodo
12648388,Arg dataset,Dataset,arg dataset,ace-arg,,10.5281/zenodo.12648388,Zenodo
6125695,ZhenyanZhang/ARG-global: Global assement of ARG risk,Software,zhenyanzhang/arg-global: global assement of arg risk,ace-arg,,10.5281/zenodo.6125695,Zenodo
3827478,Swiss-Polar-Institute/pyantarctica v0.1.0,Software,swiss-polar-institute/pyantarctica v0.1.0,ace-arg,,10.5281/zenodo.3827478,Zenodo
3843376,Iodine monoxide (IO) measurements made using a MAX-DOAS (Multi-AXis Differential Optical Absorption Spectroscopy) instrument in the austral summer of 2016/17 during the Antarctic Circumnavigation Expedition (ACE).,Dataset,iodine monoxide (io) measurements made using a max-doas (multi-axis differential optical absorption spectroscopy) instrument in the austral summer of 2016/17 during the antarctic circumnavigation expedition (ace).,ace-arg,,10.5281/zenodo.3843376,Zenodo
16750337,Synthetic Fuzzy AHP Marketing Strategy,Dataset,synthetic fuzzy ahp marketing strategy,tfns,,10.5281/zenodo.16750337,Zenodo
4627924,Deep learning for simultaneously interpreting 3D seismic horizons and faults by estimating a relative geologic time volume,Dataset,deep learning for simultaneously interpreting 3d seismic horizons and faults by estimating a relative geologic time volume,nwgi,,10.5281/zenodo.4627924,Zenodo
5495793,Same Sentiment Classification Train/Dev/Test Pair IDs,Dataset,same sentiment classification train/dev/test pair ids,fingpt-sentiment-train,,10.5281/zenodo.5495793,Zenodo
5997435,COMPRISE_Data06_YELP_V1.0,Dataset,comprise_data06_yelp_v1.0,fingpt-sentiment-train,,10.5281/zenodo.5997435,Zenodo
4159573,Emoji Sentiment Lexicons,Dataset,emoji sentiment lexicons,fingpt-sentiment-train,,10.5281/zenodo.4159573,Zenodo
4477881,Sentiment analysis in Galaxy with IMDB movie review dataset,Dataset,sentiment analysis in galaxy with imdb movie review dataset,fingpt-sentiment-train,,10.5281/zenodo.4477881,Zenodo
7805128,Line-level Named Entity Recognition annotation for the George Washington and IAM datasets,Dataset,line-level named entity recognition annotation for the george washington and iam datasets,fingpt-ner,,10.5281/zenodo.7805128,Zenodo
7386186,Unsupervised-NER,Software,unsupervised-ner,fingpt-ner,,10.5281/zenodo.7386186,Zenodo
7265312,turkish-nlp-suite/NER-datasets: Newpaper NER set,Software,turkish-nlp-suite/ner-datasets: newpaper ner set,fingpt-ner,,10.5281/zenodo.7265312,Zenodo
14362899,MusicUGC-NER,Dataset,musicugc-ner,fingpt-ner,,10.5281/zenodo.14362899,Zenodo
5793971,NER pipeline,Software,ner pipeline,fingpt-ner,,10.5281/zenodo.5793971,Zenodo
3478447,Image Dataset for FIQA,Dataset,image dataset for fiqa,fiqa-sa,,10.5281/zenodo.3478447,Zenodo
10620586,inFaaa/PromptNet_1.0: PromptNet 1.0.0,Software,infaaa/promptnet_1.0: promptnet 1.0.0,promptnet,,10.5281/zenodo.10620586,Zenodo
8374921,AI-in-Health/PromptNet: v1.0.1,Software,ai-in-health/promptnet: v1.0.1,promptnet,,10.5281/zenodo.8374921,Zenodo
6801109,ImageNet-Cartoon and ImageNet-Drawing: two domain shift datasets for ImageNet,Dataset,imagenet-cartoon and imagenet-drawing: two domain shift datasets for imagenet,imagenet,,10.5281/zenodo.6801109,Zenodo
10720917,Tiny ImageNet,Dataset,tiny imagenet,imagenet,,10.5281/zenodo.10720917,Zenodo
3549806,French Word Sense Disambiguation with Princeton WordNet Identifiers,Dataset,french word sense disambiguation with princeton wordnet identifiers,wordnet,,10.5281/zenodo.3549806,Zenodo
3522768,Xiaorong-creek/Creek: Test,Software,xiaorong-creek/creek: test,maules creek,,10.5281/zenodo.3522768,Zenodo
4994842,Substrate quality drives fungal necromass decay and decomposer community structure under contrasting vegetation types,Dataset,substrate quality drives fungal necromass decay and decomposer community structure under contrasting vegetation types,maules creek,,10.5061/dryad.nk98sf7qj,Zenodo
6409271,Rapid evolutionary divergence of a songbird population following recent colonization of an urban area,Software,rapid evolutionary divergence of a songbird population following recent colonization of an urban area,caltech ucsd birds,,10.5281/zenodo.6409271,Zenodo
6410550,Rapid evolutionary divergence of a songbird population following recent colonization of an urban area,Dataset,rapid evolutionary divergence of a songbird population following recent colonization of an urban area,caltech ucsd birds,,10.5061/dryad.gf1vhhmpv,Zenodo
13798843,arholman-ucsd/calcium-imaging-matlab-script: Calcium Imaging MATLAB Script,Software,arholman-ucsd/calcium-imaging-matlab-script: calcium imaging matlab script,caltech ucsd birds,,10.5281/zenodo.13798843,Zenodo
3695870,Intermolecular Vibrational Energy Transfer Enabled by Microcavity Strong Light-Matter Coupling,Dataset,intermolecular vibrational energy transfer enabled by microcavity strong light-matter coupling,caltech ucsd birds,,10.5281/zenodo.3695870,Zenodo
5908008,jinzhanglab-ucsd/MatScopeSuite:,Software,jinzhanglab-ucsd/matscopesuite:,caltech ucsd birds,,10.5281/zenodo.5908008,Zenodo
16325853,CUB-200-2011 Attribute Revision,Dataset,cub-200-2011 attribute revision,cub_200_2011,,10.5281/zenodo.16325853,Zenodo
16325853,CUB-200-2011 Attribute Revision,Dataset,cub-200-2011 attribute revision,cub-200,,10.5281/zenodo.16325853,Zenodo
3972388,CUB-200 Speech captions (Part-I),Dataset,cub-200 speech captions (part-i),cub-200,,10.5281/zenodo.3972388,Zenodo
3973140,CUB-200 Speech captions (Part-II),Dataset,cub-200 speech captions (part-ii),cub-200,,10.5281/zenodo.3973140,Zenodo
8124265,Oracle segmentation maps for fine-grained multitask CLIP,Dataset,oracle segmentation maps for fine-grained multitask clip,cub-200,,10.5281/zenodo.8124265,Zenodo
6868125,remyels/cub:,Software,remyels/cub:,cub-200,,10.5281/zenodo.6868125,Zenodo
3907387,"denghuilu/cub: cub, submodule of deepmd-kit for CPC",Software,"denghuilu/cub: cub, submodule of deepmd-kit for cpc",cub-200,,10.5281/zenodo.3907387,Zenodo
5025478,How long is 3 kilometres for a butterfly? Ecological constraints and functional traits explain high mitochondrial genetic diversity between Sicily and the Italian Peninsula,Dataset,how long is 3 kilometres for a butterfly? ecological constraints and functional traits explain high mitochondrial genetic diversity between sicily and the italian peninsula,butterfly-200,,10.5061/dryad.5qfttdz1x,Zenodo
5528002,Greek_Legal_Code,Dataset,greek_legal_code,greek_legal_code,,10.5281/zenodo.5528002,Zenodo
7949582,Dataset TrainBatch1 for the MICCAI-2022-Challenge: Airway Tree Modeling (ATM'22),Dataset,dataset trainbatch1 for the miccai-2022-challenge: airway tree modeling (atm'22),isbi 2012 em segmentation benchmark,,10.5281/zenodo.7949582,Zenodo
6590026,Dataset Validation Images for the MICCAI-2022-Challenge: Airway Tree Modeling (ATM'22),Dataset,dataset validation images for the miccai-2022-challenge: airway tree modeling (atm'22),isbi 2012 em segmentation benchmark,,10.5281/zenodo.6590026,Zenodo
11092670,bioimage.io upload: creative-panda,Software,bioimage.io upload: creative-panda,isbi 2012 em segmentation benchmark,,10.5281/zenodo.11092670,Zenodo
12659652,Evaluation benchmark for natural robustness evaluation of retinal vessel segmentation models,Dataset,evaluation benchmark for natural robustness evaluation of retinal vessel segmentation models,isbi 2012 em segmentation benchmark,,10.5281/zenodo.12659652,Zenodo
344879,2D bright field yeast cell images with ground truth annotations,Dataset,2d bright field yeast cell images with ground truth annotations,isbi 2012 em segmentation benchmark,,10.5281/zenodo.344879,Zenodo
3709649,Matlab code for analysis of C. elegans circadian rhythms,Software,matlab code for analysis of c. elegans circadian rhythms,bbbc010 c. elegans,,10.5281/zenodo.3709649,Zenodo
7837229,OMMT-Fibre: textile fibres acquired using OptoMechanical Modulation Tomography (OMMT),Dataset,ommt-fibre: textile fibres acquired using optomechanical modulation tomography (ommt),3d fluorescence microscopy,,10.34777/6m4a-0c80,Zenodo
7881017,Simulation dataset to benchmark 3D force inference methods,Dataset,simulation dataset to benchmark 3d force inference methods,3d fluorescence microscopy,,10.5281/zenodo.7881017,Zenodo
439690,MaximeMaW/CompressedSensingMicroscopy3D: Initial release,Software,maximemaw/compressedsensingmicroscopy3d: initial release,3d fluorescence microscopy,,10.5281/zenodo.439690,Zenodo
16623962,deltaMic: differentiable Microscopy image creator for cell shape inference with active mesh,Software,deltamic: differentiable microscopy image creator for cell shape inference with active mesh,3d fluorescence microscopy,,10.5281/zenodo.16623962,Zenodo
4204839,"I2K2020 Data for ""Quantification of the 3D brain vasculature in zebrafish light sheet fluorescence microscopy data""",Dataset,"i2k2020 data for ""quantification of the 3d brain vasculature in zebrafish light sheet fluorescence microscopy data""",3d fluorescence microscopy,,10.5281/zenodo.4204839,Zenodo
6560910,LMRG Image Analysis Study - FISH datasets,Dataset,lmrg image analysis study - fish datasets,3d fluorescence microscopy,,10.5281/zenodo.6560910,Zenodo
15496000,3D Multispectral Lifetime Fluorescence Microscopy Datasets,Dataset,3d multispectral lifetime fluorescence microscopy datasets,3d fluorescence microscopy,,10.5281/zenodo.15496000,Zenodo
4963334,Data from: Serial-section atlas of the Tritonia pedal ganglion,Dataset,data from: serial-section atlas of the tritonia pedal ganglion,3d light microscopy data of drosophila neurons,,10.5061/dryad.m42d17g,Zenodo
14507343,Training data for miniML,Dataset,training data for miniml,3d light microscopy data of drosophila neurons,,10.5281/zenodo.14507343,Zenodo
4204839,"I2K2020 Data for ""Quantification of the 3D brain vasculature in zebrafish light sheet fluorescence microscopy data""",Dataset,"i2k2020 data for ""quantification of the 3d brain vasculature in zebrafish light sheet fluorescence microscopy data""",3d light microscopy data of drosophila neurons,,10.5281/zenodo.4204839,Zenodo
2541462,Data for: Optogenetic olfactory behavior depends on illumination characteristics,Dataset,data for: optogenetic olfactory behavior depends on illumination characteristics,3d light microscopy data of drosophila neurons,,10.5281/zenodo.2541462,Zenodo
15002760,Confocal imaging data of D. sechellia olfactory projection neurons,Dataset,confocal imaging data of d. sechellia olfactory projection neurons,3d light microscopy data of drosophila neurons,,10.5281/zenodo.15002760,Zenodo
8024696,Immobilized fluorescently stained zebrafish through the eXtended Field of view Light Field Microscope 2D-3D dataset,Dataset,immobilized fluorescently stained zebrafish through the extended field of view light field microscope 2d-3d dataset,3d light microscopy data of drosophila neurons,,10.5281/zenodo.8024696,Zenodo
7858909,Supplementary movies and datasets of the paper: Precise targeting for 3D cryo-correlative light and electron microscopy volume imaging of tissues using a FinderTOP,Dataset,supplementary movies and datasets of the paper: precise targeting for 3d cryo-correlative light and electron microscopy volume imaging of tissues using a findertop,3d light microscopy data of drosophila neurons,,10.5281/zenodo.7858909,Zenodo
10875063,FISBe: A real-world benchmark dataset for instance segmentation of long-range thin filamentous structures,Dataset,fisbe: a real-world benchmark dataset for instance segmentation of long-range thin filamentous structures,flylight instances segmentation benchmark,,10.5281/zenodo.10875063,Zenodo
15063451,Job Shop Scheduling Problem Benchmark Instances,Dataset,job shop scheduling problem benchmark instances,flylight instances segmentation benchmark,,10.5281/zenodo.15063451,Zenodo
11582627,"Pretrained model for 3D semantic image segmentation of the brain tumor, necrosis, and edema from MRI scans",Software,"pretrained model for 3d semantic image segmentation of the brain tumor, necrosis, and edema from mri scans",flylight instances segmentation benchmark,,10.5281/zenodo.11582627,Zenodo
15524472,RAS Dataset,Dataset,ras dataset,flylight instances segmentation benchmark,,10.5281/zenodo.15524472,Zenodo
