Output Text:
<WORKSHOP>PAWS1957</WORKSHOP> workshop
<WORKSHOP>PAWS1956</WORKSHOP> workshop
<WORKSHOP>PAWS1955</WORKSHOP> workshop
<WORKSHOP>PAWS1954</WORKSHOP> workshop
<WORKSHOP>PAWS1953</WORKSHOP> workshop
<WORKSHOP>PAWS1952</WORKSHOP> workshop
<WORKSHOP>PAWS1951</WORKSHOP> workshop
<WORKSHOP>PAWS1950</WORKSHOP> workshop
<WORKSHOP>PAWS1949</WORKSHOP> workshop
<WORKSHOP>PAWS1948</WORKSHOP> workshop
<WORKSHOP>PAWS1947</WORKSHOP> workshop
<WORKSHOP>PAWS1946</WORKSHOP> workshop
<WORKSHOP>PAWS1945</WORKSHOP> workshop
<WORKSHOP>PAWS1944</WORKSHOP> workshop
<WORKSHOP>PAWS1943</WORKSHOP> workshop
<WORKSHOP>PAWS1942</WORKSHOP> workshop
<WORKSHOP>PAWS1941</WORKSHOP> workshop
<WORKSHOP>PAWS1940</WORKSHOP> workshop
<WORKSHOP>PAWS1939</WORKSHOP> workshop
<WORKSHOP>PAWS1938</WORKSHOP> workshop
<WORKSHOP>PAWS1937</WORKSHOP> workshop
<WORKSHOP>PAWS1936</WORKSHOP> workshop
<WORKSHOP>PAWS1935</WORKSHOP> workshop
<WORKSHOP>PAWS1934</WORKSHOP> workshop
<WORKSHOP>PAWS1933</WORKSHOP> workshop
<WORKSHOP>PAWS1932</WORKSHOP> workshop
<WORKSHOP>PAWS1931</WORKSHOP> workshop
<WORKSHOP>PAWS1930</WORKSHOP> workshop
<WORKSHOP>PAWS1929</WORKSHOP> workshop
<WORKSHOP>PAWS1928</WORKSHOP> workshop
<WORKSHOP>PAWS1927</WORKSHOP> workshop
<WORKSHOP>PAWS1926</WORKSHOP> workshop
<WORKSHOP>PAWS1925</WORKSHOP> workshop
<WORKSHOP>PAWS1924</WORKSHOP> workshop
<WORKSHOP>PAWS1923</WORKSHOP> workshop
<WORKSHOP>PAWS1922</WORKSHOP> workshop
<WORKSHOP>PAWS1921</WORKSHOP> workshop
<WORKSHOP>PAWS1920</WORKSHOP> workshop
<WORKSHOP>PAWS1919</WORKSHOP> workshop
<WORKSHOP>PAWS1918</WORKSHOP> workshop
<WORKSHOP>PAWS1917</WORKSHOP> workshop
<WORKSHOP>PAWS1916</WORKSHOP> workshop
<WORKSHOP>PAWS1915</WORKSHOP> workshop
<WORKSHOP>PAWS1914</WORKSHOP> workshop
<WORKSHOP>PAWS1913</WORKSHOP> workshop
<WORKSHOP>PAWS1912</WORKSHOP> workshop
<WORKSHOP>PAWS1911</WORKSHOP> workshop
<WORKSHOP>PAWS1910</WORKSHOP> workshop
<WORKSHOP>PAWS1909</WORKSHOP> workshop
<WORKSHOP>PAWS1908</WORKSHOP> workshop
<WORKSHOP>PAWS1907</WORKSHOP> workshop
<WORKSHOP>PAWS1906</WORKSHOP> workshop
<WORKSHOP>PAWS1905</WORKSHOP> workshop
<WORKSHOP>PAWS1904</WORKSHOP> workshop
