entity_text,gold_name,entity_type
Butterfly200,butterfly200,DATASET
Vegfru,vegfru,DATASET
greek_legal_code,greek_legal_code,DATASET
ISBI 2012 EM segmentation benchmark,isbi 2012 em segmentation benchmark,DATASET
BBBC010 C. elegans,bbbc010 c. elegans,DATASET
3d fluorescence microscopy,3d fluorescence microscopy,DATASET
3d light microscopy data of drosophila neurons,3d light microscopy data of drosophila neurons,DATASET
FlyLight Instances Segmentation Benchmark,flylight instances segmentation benchmark,DATASET
nuclei3d,nuclei3d,DATASET
The FlyLight Instance Segmentation Datset,the flylight instance segmentation datset,DATASET
CaLiGraph,caligraph,DATASET
CaLiGraph,caligraph,DATASET
CaLiGraph version 2.1.0,caligraph version 2.1.0,DATASET
caligraph,caligraph,DATASET
CaLiGraph,caligraph,DATASET
CaLiGraph,caligraph,DATASET
CaLiGraph,caligraph,DATASET
CaLiGraph,caligraph,DATASET
CaLiGraph,caligraph,DATASET
caligraph,caligraph,DATASET
clg_10e4,clg_10e4,DATASET
clg_10e5,clg_10e5,DATASET
clg_ful,clg_ful,DATASET
CaLiGraph,caligraph,DATASET
CaLiGraph,caligraph,DATASET
ImageNet-1K,imagenet-1k,DATASET
ImageNet-1K,imagenet-1k,DATASET
imagenet,imagenet,DATASET
imagenet,imagenet,DATASET
ImageNet1K,imagenet1k,DATASET
COCO,coco,DATASET
Flickr30K,flickr30k,DATASET
coco,coco,DATASET
flickr30k,flickr30k,DATASET
COCO,coco,DATASET
FLICKR30K,flickr30k,DATASET
COCO,coco,DATASET
COCO,coco,DATASET
Flickr30K,flickr30k,DATASET
Flickr30K,flickr30k,DATASET
ImageNet-1K,imagenet-1k,DATASET
COCO,coco,DATASET
COCO,coco,DATASET
Flickr30K,flickr30k,DATASET
Flickr30K,flickr30k,DATASET
BorealTC,borealtc,DATASET
Vulpi,vulpi,DATASET
Vulpi,vulpi,DATASET
vulpi,vulpi,DATASET
vulpi,vulpi,DATASET
BorealTC,borealtc,DATASET
borealtc,borealtc,DATASET
borealtc,borealtc,DATASET
Public Event,public event,DATASET
MVSEC,mvsec,DATASET
mvsec,mvsec,DATASET
EuRoC,euroc,DATASET
EuRoC,euroc,DATASET
Public Event,public event,DATASET
S3DIS,s3dis,DATASET
KITTI- 360,kitti- 360,DATASET
s3dis,s3dis,DATASET
s3dis,s3dis,DATASET
kitti-360,kitti-360,DATASET
kitti-360,kitti-360,DATASET
S3DIS,s3dis,DATASET
ScanNet,scannet,DATASET
KITTI360,kitti360,DATASET
kitti360,kitti360,DATASET
s3dis,s3dis,DATASET
scannet,scannet,DATASET
kitti360,kitti360,DATASET
s3dis,s3dis,DATASET
scannet,scannet,DATASET
kitti360,kitti360,DATASET
s3dis,s3dis,DATASET
scannet,scannet,DATASET
S3DIS 6-Fold,s3dis 6-fold,DATASET
KITTI-360,kitti-360,DATASET
ScanNet,scannet,DATASET
S3DIS Fold 5,s3dis fold 5,DATASET
KITTI-360,kitti-360,DATASET
kitti360,kitti360,DATASET
ScanNet,scannet,DATASET
ScanNet,scannet,DATASET
ScanNet,scannet,DATASET
RumexLeaves,rumexleaves,DATASET
RumexLeaves,rumexleaves,DATASET
RumexLeaves,rumexleaves,DATASET
RumexLeaves,rumexleaves,DATASET
rumexleaves,rumexleaves,DATASET
rumexleaves,rumexleaves,DATASET
rumexleaves,rumexleaves,DATASET
rumexleaves,rumexleaves,DATASET
RumexLeaves,rumexleaves,DATASET
iNaturalist,inaturalist,DATASET
rumexleaves,rumexleaves,DATASET
rumexleaves,rumexleaves,DATASET
rumexleaves,rumexleaves,DATASET
rumexleaves,rumexleaves,DATASET
football,football,DATASET
sc2,sc2,DATASET
sc2,sc2,DATASET
StarCraft II,starcraft ii,DATASET
SC2,sc2,DATASET
SC2,sc2,DATASET
sc2,sc2,DATASET
SC2EGSet,sc2egset,DATASET
StarCraft II Esport Game State Dataset,starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset,DATASET
StarCraft II Esport Game State Dataset,starcraft ii esport game state dataset,DATASET
StarCraft II,starcraft ii,DATASET
sc2,sc2,DATASET
SC2EGSet,sc2egset,DATASET
sc2,sc2,DATASET
sc2,sc2,DATASET
SC2EGSet,sc2egset,DATASET
sc2,sc2,DATASET
sc2,sc2,DATASET
SC2EGSet,sc2egset,DATASET
sc2,sc2,DATASET
sc2,sc2,DATASET
SC2EGSet,sc2egset,DATASET
sc2,sc2,DATASET
sc2,sc2,DATASET
SC2EGSet,sc2egset,DATASET
sc2,sc2,DATASET
sc2,sc2,DATASET
SC2EGSet,sc2egset,DATASET
sc2,sc2,DATASET
sc2,sc2,DATASET
sc2egset,sc2egset,DATASET
SC2ReSet,sc2reset,DATASET
SC2EGSet,sc2egset,DATASET
SC2EGSet,sc2egset,DATASET
EuRoC,euroc,DATASET
EuRoC,euroc,DATASET
EuRoC,euroc,DATASET
Euroc,euroc,DATASET
RuleAlign,rulealign,DATASET
RuleEval,ruleeval,DATASET
RuleAlign,rulealign,DATASET
RuleAlign,rulealign,DATASET
RuleAlign,rulealign,DATASET
RuleEval,ruleeval,DATASET
BD Ortho,bd ortho,DATASET
BD Foret v2,bd foret v2,DATASET
BD Topo,bd topo,DATASET
ImageNet-22K,imagenet-22k,DATASET
BouroujeniEtAl,bouroujenietal,DATASET
MarrasEtAl,marrasetal,DATASET
LalleConati,lalleconati,DATASET
ChenCui,chencui,DATASET
PRW,prw,DATASET
PRW,prw,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
json annotations,json annotations,DATASET
PRW,prw,DATASET
prw,prw,DATASET
PRW,prw,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
PRW,prw,DATASET
PRW,prw,DATASET
PRW,prw,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
CRAWDAD,crawdad,DATASET
blebeacon,blebeacon,DATASET
blebeacon,blebeacon,DATASET
blebeacon,blebeacon,DATASET
blebeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
Flickr30K,flickr30k,DATASET
MSCOCO,mscoco,DATASET
AlpacaEval,alpacaeval,DATASET
AlpacaEval,alpacaeval,DATASET
sst2,sst2,DATASET
sst2,sst2,DATASET
sst2,sst2,DATASET
sst2,sst2,DATASET
SST-2,sst-2,DATASET
sst-2,sst-2,DATASET
Meta-Reasoning-MATH,meta-reasoning-math,DATASET
mr-math_invalid_errors,mr-math_invalid_errors,DATASET
PRM800K,prm800k,DATASET
prm800k,prm800k,DATASET
mr-math_redundant_errors,mr-math_redundant_errors,DATASET
PRM800K,prm800k,DATASET
Meta-Reasoning-GSM8K,meta-reasoning-gsm8k,DATASET
GSM8K,gsm8k,DATASET
MR-GSM8K,mr-gsm8k,DATASET
MR-GSM8K,mr-gsm8k,DATASET
Perturbation,perturbation,DATASET
PRM800K,prm800k,DATASET
prm800k,prm800k,DATASET
perturbatio,perturbatio,DATASET
mr-gsm8k,mr-gsm8k,DATASET
mr-math,mr-math,DATASET
mr-math,mr-math,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
Connect-4,connect-4,DATASET
Connect-4,connect-4,DATASET
Letter,letter,DATASET
Letter,letter,DATASET
Optical recognition,optical recognition,DATASET
Optical recognition,optical recognition,DATASET
Pendigits,pendigits,DATASET
Pendigits,pendigits,DATASET
Protein,protein,DATASET
Protein,protein,DATASET
SenseIT,senseit,DATASET
SenseIT,senseit,DATASET
USPS,usps,DATASET
USPS,usps,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
kitti,kitti,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
ScribbleKITTI,scribblekitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
ScribbleKITTI,scribblekitti,DATASET
SemKITTI,semkitti,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
kitti,kitti,DATASET
SemanticKITTI,semantickitti,DATASET
kitti,kitti,DATASET
nuScenes,nuscenes,DATASET
nuscenes,nuscenes,DATASET
nuScenes,nuscenes,DATASET
nuscenes,nuscenes,DATASET
ScribbleKITTI,scribblekitti,DATASET
scribblekitti,scribblekitti,DATASET
SemanticPOSS,semanticposs,DATASET
semanticposs,semanticposs,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
CoNLL-2003,conll-2003,DATASET
conll-2003,conll-2003,DATASET
CoNLL-2003,conll-2003,DATASET
CoNLL++,conll++,DATASET
lasot-ext,lasot-ext,DATASET
lasot-ext,lasot-ext,DATASET
lasot,lasot,DATASET
lasot,lasot,DATASET
tnl2k,tnl2k,DATASET
tnl2k,tnl2k,DATASET
trackingnet,trackingnet,DATASET
trackingnet,trackingnet,DATASET
youtube-vis,youtube-vis,DATASET
youtube-vis,youtube-vis,DATASET
ovis,ovis,DATASET
ovis,ovis,DATASET
davis,davis,DATASET
davis,davis,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
MBES,mbes,DATASET
MNIST,mnist,DATASET
mnist,mnist,DATASET
CIFAR,cifar,DATASET
cifar,cifar,DATASET
SVHN,svhn,DATASET
Food101,food101,DATASET
food-101,food-101,DATASET
Flowers102,flowers102,DATASET
Cervical,cervical,DATASET
CheXpert,chexpert,DATASET
chexpert,chexpert,DATASET
Facial Expression,facial expression,DATASET
fer2013,fer2013,DATASET
Celeb,celeb,DATASET
CelebA,celeba,DATASET
Adult,adult,DATASET
COMPAS,compas,DATASET
FICO,fico,DATASET
Boston Housing,boston housing,DATASET
German Credit,german credit,DATASET
Student Admission,student admission,DATASET
Student Performance,student performance,DATASET
GMSC,gmsc,DATASET
GiveMeSomeCredit,givemesomecredit,DATASET
Diabetes,diabetes,DATASET
Breast Cancer,breast cancer,DATASET
Cora,cora,DATASET
CORA,cora,DATASET
Bitcoin,bitcoin,DATASET
CIC-IDS2017,cic-ids2017,DATASET
ids-2017,ids-2017,DATASET
IMDB Review,imdb review,DATASET
VisE-D,vise-d,DATASET
Visual Event Classification,visual event classification,DATASET
VisE-Bing,vise-bing,DATASET
VisE-Wiki,vise-wiki,DATASET
VisE-Bing,vise-bing,DATASET
VisE-Wiki,vise-wiki,DATASET
VisE-Bing,vise-bing,DATASET
VisE-Wiki,vise-wiki,DATASET
VisE-D,vise-d,DATASET
Visual Event Classification Dataset,visual event classification dataset,DATASET
Visual Event Classification Dataset,visual event classification dataset,DATASET
VisE-D,vise-d,DATASET
vise-d,vise-d,DATASET
Web Images for Event Recognition,web images for event recognition,DATASET
WIDER,wider,DATASET
Social Event Dataset,social event dataset,DATASET
SocEID,soceid,DATASET
Rare Event Dataset,rare event dataset,DATASET
RED,red,DATASET
wider,wider,DATASET
soceid,soceid,DATASET
red,red,DATASET
MNIST,mnist,DATASET
mnist,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
ImageNet,imagenet,DATASET
image-net,image-net,DATASET
imagenet,imagenet,DATASET
ImageNet,imagenet,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
ImageNet_patches,imagenet_patches,DATASET
ImageNet,imagenet,DATASET
ImageNet_patches,imagenet_patches,DATASET
ImageNet,imagenet,DATASET
ImageNet_patches,imagenet_patches,DATASET
ImageNet,imagenet,DATASET
Imagenet_patches,imagenet_patches,DATASET
ImageNet,imagenet,DATASET
MNIST,mnist,DATASET
ImageNet,imagenet,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
DAMP,damp,DATASET
DALI,dali,DATASET
DAMP,damp,DATASET
Sing!300x30x2,sing!300x30x2,DATASET
Sing!300x30x2,sing!300x30x2,DATASET
DAMP,damp,DATASET
damp,damp,DATASET
damp,damp,DATASET
damp,damp,DATASET
damp,damp,DATASET
DALI,dali,DATASET
DALI_v2.0,dali_v2.0,DATASET
DALI,dali,DATASET
DALI-TALT,dali-talt,DATASET
DALI,dali,DATASET
DALI-TestSet4ALT,dali-testset4alt,DATASET
dali_talt,dali_talt,DATASET
dali-talt,dali-talt,DATASET
Jamendo,jamendo,DATASET
Jamendo(lyrics),jamendo(lyrics),DATASET
jamendolyrics,jamendolyrics,DATASET
jamendo,jamendo,DATASET
jamendo,jamendo,DATASET
DAMP,damp,DATASET
DAMP,damp,DATASET
DAMP,damp,DATASET
damp,damp,DATASET
damp,damp,DATASET
dali,dali,DATASET
dali_talt,dali_talt,DATASET
dali_talt,dali_talt,DATASET
jamendo,jamendo,DATASET
jamendo,jamendo,DATASET
damp,damp,DATASET
DAMP,damp,DATASET
dali,dali,DATASET
DALI,dali,DATASET
dali_talt,dali_talt,DATASET
DALI-TALT,dali-talt,DATASET
jamendo,jamendo,DATASET
jamendo,jamendo,DATASET
CIFAR-10,cifar-10,DATASET
CIFAR-100,cifar-100,DATASET
Ontonotes 5.0,ontonotes 5.0,DATASET
ontonotes-release-5.0,ontonotes-release-5.0,DATASET
conll-2012-train.v4,conll-2012-train.v4,DATASET
conll-2012-development.v4,conll-2012-development.v4,DATASET
conll-2012-test,conll-2012-test,DATASET
ontonotes,ontonotes,DATASET
ontonotes,ontonotes,DATASET
ontonotes-release-5.0,ontonotes-release-5.0,DATASET
ontonotes,ontonotes,DATASET
onotonotes,onotonotes,DATASET
QuAC,quac,DATASET
quac,quac,DATASET
QuAC,quac,DATASET
QuAC,quac,DATASET
quac,quac,DATASET
CANARD,canard,DATASET
coco,coco,DATASET
coco,coco,DATASET
COCO Caption,coco caption,DATASET
CUB Caption,cub caption,DATASET
CUB-200-2011,cub-200-2011,DATASET
CUB-200-2011,cub-200-2011,DATASET
COCO Caption,coco caption,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
ECCV Caption,eccv caption,DATASET
eccv-caption,eccv-caption,DATASET
ECCV Caption,eccv caption,DATASET
eccv-caption,eccv-caption,DATASET
eccv-caption,eccv-caption,DATASET
CUB Caption,cub caption,DATASET
COCO Caption,coco caption,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
CUB Caption,cub caption,DATASET
CUB Caption,cub caption,DATASET
cub,cub,DATASET
cub,cub,DATASET
cub,cub,DATASET
cub,cub,DATASET
cub,cub,DATASET
cub,cub,DATASET
cub,cub,DATASET
cub,cub,DATASET
ECCV Caption,eccv caption,DATASET
eccv-caption,eccv-caption,DATASET
eccv_caption,eccv_caption,DATASET
ECCV Caption,eccv caption,DATASET
UW,uw,DATASET
VUMC,vumc,DATASET
UW,uw,DATASET
UW,uw,DATASET
UW,uw,DATASET
UW,uw,DATASET
VUMC,vumc,DATASET
VUMC,vumc,DATASET
VUMC,vumc,DATASET
UW,uw,DATASET
VUMC,vumc,DATASET
Unhealthy Comments Corpus,unhealthy comments corpus,DATASET
UCC,ucc,DATASET
Unhealthy Comments Corpus,unhealthy comments corpus,DATASET
UCC,ucc,DATASET
UCC,ucc,DATASET
SOCC,socc,DATASET
SFU Opinion and Comments Corpus,sfu opinion and comments corpus,DATASET
SOCC,socc,DATASET
eICUSubsampleUnobs,eicusubsampleunobs,DATASET
CXR,cxr,DATASET
CXRBinary,cxrbinary,DATASET
COCO,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
coco,coco,DATASET
YTVIS 2019,ytvis 2019,DATASET
ytvis_2019,ytvis_2019,DATASET
ytvis_2019,ytvis_2019,DATASET
ytvis_2019,ytvis_2019,DATASET
ytvis_2019,ytvis_2019,DATASET
COCO,coco,DATASET
coco,coco,DATASET
YTVIS2019,ytvis2019,DATASET
COCO,coco,DATASET
ytvis_2019,ytvis_2019,DATASET
YTVIS 2019,ytvis 2019,DATASET
ytvis_2019,ytvis_2019,DATASET
YTVIS 2019,ytvis 2019,DATASET
YTVIS,ytvis,DATASET
YouTube-VIS 2019,youtube-vis 2019,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
Thermal,thermal,DATASET
KAIST,kaist,DATASET
Thermal,thermal,DATASET
Thermal,thermal,DATASET
Thermal,thermal,DATASET
Thermal,thermal,DATASET
Thermal,thermal,DATASET
DIV2K,div2k,DATASET
DIV2K,div2k,DATASET
Urban100,urban100,DATASET
BSDS100,bsds100,DATASET
Thermal,thermal,DATASET
Thermal,thermal,DATASET
Thermal,thermal,DATASET
Thermal,thermal,DATASET
DIV2K,div2k,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
SciNLI,scinli,DATASET
SciNLI,scinli,DATASET
SciNLI,scinli,DATASET
SciNLI,scinli,DATASET
SciNLI,scinli,DATASET
SNLI,snli,DATASET
MNLI,mnli,DATASET
SciNLI,scinli,DATASET
PASCAL VOC,pascal voc,DATASET
PASCAL VOC,pascal voc,DATASET
PASCAL VOC 2007,pascal voc 2007,DATASET
voc2007,voc2007,DATASET
voc2007,voc2007,DATASET
voc2007,voc2007,DATASET
PASCAL VOC,pascal voc,DATASET
PASCAL,pascal,DATASET
PASCAL VOC 2010,pascal voc 2010,DATASET
VOC2007,voc2007,DATASET
VOC2012,voc2012,DATASET
ImageNet,imagenet,DATASET
VOC 2007,voc 2007,DATASET
PASCAL VOC,pascal voc,DATASET
VOC 2007,voc 2007,DATASET
voc_2007,voc_2007,DATASET
voc_2007,voc_2007,DATASET
PASCAL VOC,pascal voc,DATASET
voc_2007,voc_2007,DATASET
voc_2007,voc_2007,DATASET
fast_rcnn,fast_rcnn,DATASET
voc_2007,voc_2007,DATASET
voc_2007,voc_2007,DATASET
voc_2012,voc_2012,DATASET
voc_2012,voc_2012,DATASET
VOC07,voc07,DATASET
VOC12,voc12,DATASET
MEDI+MTEBcls,medi+mtebcls,DATASET
MEDI+MTEBcls,medi+mtebcls,DATASET
MEDI+MTEBcls,medi+mtebcls,DATASET
MEDI+MTEBcls,medi+mtebcls,DATASET
MEDI,medi,DATASET
MTEB Classification,mteb classification,DATASET
avsolatorio/medi-data-mteb_avs_triplets,avsolatorio/medi-data-mteb_avs_triplets,DATASET
avsolatorio/medi-data-mteb_avs_triplets,avsolatorio/medi-data-mteb_avs_triplets,DATASET
mteb,mteb,DATASET
MEDI,medi,DATASET
MTEB,mteb,DATASET
MTEB,mteb,DATASET
mteb,mteb,DATASET
USPTO,uspto,DATASET
ZINC,zinc,DATASET
USPTO,uspto,DATASET
USPTO,uspto,DATASET
LIDC-IDRI,lidc-idri,DATASET
LUNA16,luna16,DATASET
LIDC-IDRI,lidc-idri,DATASET
LUNA16,luna16,DATASET
LIDC-IDRI,lidc-idri,DATASET
LUNA16,luna16,DATASET
ELCAP,elcap,DATASET
NSCLC,nsclc,DATASET
ANODE09,anode09,DATASET
THUMOS14,thumos14,DATASET
ActivityNet 1.3,activitynet 1.3,DATASET
EPIC-Kitchens 100,epic-kitchens 100,DATASET
Ego4D Moment Queries,ego4d moment queries,DATASET
Ego4D Moment Queries,ego4d moment queries,DATASET
Ego4D MQ,ego4d mq,DATASET
ActivityNet,activitynet,DATASET
THUMOS14,thumos14,DATASET
ActivityNet,activitynet,DATASET
EPIC-Kitchens 100,epic-kitchens 100,DATASET
THUMOS14,thumos14,DATASET
thumos,thumos,DATASET
ActivityNet,activitynet,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
THUMOS,thumos,DATASET
THUMOS 14,thumos 14,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
thumos,thumos,DATASET
ActivityNet 1.3,activitynet 1.3,DATASET
ActivityNet,activitynet,DATASET
ActivityNet,activitynet,DATASET
ActivityNet,activitynet,DATASET
ActivityNet 1.3,activitynet 1.3,DATASET
EPIC Kitchens 100,epic kitchens 100,DATASET
epic_kitchens,epic_kitchens,DATASET
SlowFast,slowfast,DATASET
ActivityNet,activitynet,DATASET
EPIC Kitchens 100,epic kitchens 100,DATASET
EPIC Kitchens,epic kitchens,DATASET
SlowFast,slowfast,DATASET
SlowFast,slowfast,DATASET
EPIC Kitchens,epic kitchens,DATASET
EPIC-Kitchens 100,epic-kitchens 100,DATASET
Ego4D Moment Queries,ego4d moment queries,DATASET
SlowFast,slowfast,DATASET
Omnivore,omnivore,DATASET
Ego4D,ego4d,DATASET
EgoVLP,egovlp,DATASET
Omnivore,omnivore,DATASET
EgoVLP,egovlp,DATASET
Ego4D,ego4d,DATASET
Ego4D,ego4d,DATASET
ego4d_omnivore_egovlp,ego4d_omnivore_egovlp,DATASET
ego4d_omnivore_egovlp,ego4d_omnivore_egovlp,DATASET
ego4d_omnivore_egovlp,ego4d_omnivore_egovlp,DATASET
ego4d_omnivore_egovlp,ego4d_omnivore_egovlp,DATASET
ego4d_omnivore_egovlp,ego4d_omnivore_egovlp,DATASET
ego4d_omnivore_egovlp,ego4d_omnivore_egovlp,DATASET
ego4d_omnivore_egovlp,ego4d_omnivore_egovlp,DATASET
Ego4D,ego4d,DATASET
MedQA,medqa,DATASET
MedMCQA,medmcqa,DATASET
PubMedQA,pubmedqa,DATASET
MMLU (medical subsets),mmlu (medical subsets),DATASET
CareQA,careqa,DATASET
FICO,fico,DATASET
Xsum,xsum,DATASET
SST2,sst2,DATASET
Squad,squad,DATASET
CONLL,conll,DATASET
CIFAR10 (TinyImagenet),cifar10 (tinyimagenet),DATASET
SemanticKITTI,semantickitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
semantic-kitti,semantic-kitti,DATASET
SemanticPOSS,semanticposs,DATASET
semanticposs,semanticposs,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
SVHN,svhn,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
wordnet31,wordnet31,DATASET
ImageNet-LT,imagenet-lt,DATASET
