entity_text,pwc_gold_name,entity_type
CaLiGraph,NIL,DATASET
CaLiGraph version 2.1.0,NIL,DATASET
caligraph,NIL,DATASET
CaLiGraph,NIL,DATASET
CaLiGraph,NIL,DATASET
CaLiGraph,NIL,DATASET
CaLiGraph,NIL,DATASET
CaLiGraph,NIL,DATASET
caligraph,NIL,DATASET
clg_10e4,NIL,DATASET
clg_10e5,NIL,DATASET
clg_ful,NIL,DATASET
CaLiGraph,NIL,DATASET
CaLiGraph,NIL,DATASET
ImageNet-1K,imagenet,DATASET
ImageNet-1K,imagenet,DATASET
imagenet,imagenet,DATASET
imagenet,imagenet,DATASET
ImageNet1K,imagenet,DATASET
COCO,ms coco,DATASET
Flickr30K,flickr30k,DATASET
coco,ms coco,DATASET
flickr30k,flickr30k,DATASET
COCO,ms coco,DATASET
FLICKR30K,flickr30k,DATASET
COCO,ms coco,DATASET
COCO,ms coco,DATASET
Flickr30K,flickr30k,DATASET
Flickr30K,flickr30k,DATASET
ImageNet-1K,imagenet-p,DATASET
COCO,ms coco,DATASET
COCO,ms coco,DATASET
Flickr30K,flickr30k,DATASET
Flickr30K,flickr30k,DATASET
BorealTC,borealtc,DATASET
Vulpi,NIL,DATASET
Vulpi,NIL,DATASET
vulpi,NIL,DATASET
vulpi,NIL,DATASET
BorealTC,borealtc,DATASET
borealtc,borealtc,DATASET
borealtc,borealtc,DATASET
Public Event,NIL,DATASET
MVSEC,mvsec,DATASET
mvsec,mvsec,DATASET
EuRoC,euroc mav,DATASET
EuRoC,euroc mav,DATASET
Public Event,NIL,DATASET
S3DIS,s3dis,DATASET
KITTI- 360,kitti-360,DATASET
s3dis,s3dis,DATASET
s3dis,s3dis,DATASET
kitti-360,kitti-360,DATASET
kitti-360,kitti-360,DATASET
S3DIS,s3dis,DATASET
ScanNet,scannet,DATASET
KITTI360,kitti-360,DATASET
kitti360,kitti-360,DATASET
s3dis,s3dis,DATASET
scannet,scannet,DATASET
kitti360,kitti-360,DATASET
s3dis,s3dis,DATASET
scannet,scannet,DATASET
kitti360,kitti-360,DATASET
s3dis,s3dis,DATASET
scannet,scannet,DATASET
S3DIS 6-Fold,s3dis,DATASET
KITTI-360,kitti-360,DATASET
ScanNet,scannet,DATASET
S3DIS Fold 5,s3dis,DATASET
KITTI-360,kitti-360,DATASET
kitti360,kitti-360,DATASET
ScanNet,scannet,DATASET
ScanNet,scannet,DATASET
ScanNet,scannet,DATASET
RumexLeaves,NIL,DATASET
RumexLeaves,NIL,DATASET
RumexLeaves,NIL,DATASET
RumexLeaves,NIL,DATASET
rumexleaves,NIL,DATASET
rumexleaves,NIL,DATASET
rumexleaves,NIL,DATASET
rumexleaves,NIL,DATASET
RumexLeaves,NIL,DATASET
iNaturalist,inaturalist,DATASET
rumexleaves,NIL,DATASET
rumexleaves,NIL,DATASET
rumexleaves,NIL,DATASET
rumexleaves,NIL,DATASET
football,NIL,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
StarCraft II,sc2egset: starcraft ii esport game state dataset,DATASET
SC2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
StarCraft II Esport Game State Dataset,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
StarCraft II Esport Game State Dataset,sc2egset: starcraft ii esport game state dataset,DATASET
StarCraft II,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2,sc2egset: starcraft ii esport game state dataset,DATASET
sc2egset,sc2egset: starcraft ii esport game state dataset,DATASET
SC2ReSet,sc2reset: starcraft ii esport replaypack set,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
SC2EGSet,sc2egset: starcraft ii esport game state dataset,DATASET
EuRoC,euroc mav,DATASET
EuRoC,euroc mav,DATASET
EuRoC,euroc mav,DATASET
Euroc,euroc mav,DATASET
RuleAlign,NIL,DATASET
RuleEval,NIL,DATASET
RuleAlign,NIL,DATASET
RuleAlign,NIL,DATASET
RuleAlign,NIL,DATASET
RuleEval,NIL,DATASET
BD Ortho,NIL,DATASET
BD Foret v2,NIL,DATASET
BD Topo,NIL,DATASET
ImageNet-22K,NIL,DATASET
BouroujeniEtAl,NIL,DATASET
MarrasEtAl,NIL,DATASET
LalleConati,NIL,DATASET
ChenCui,NIL,DATASET
PRW,prw,DATASET
PRW,prw,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
json annotations,NIL,DATASET
PRW,prw,DATASET
prw,prw,DATASET
PRW,prw,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
PRW,prw,DATASET
PRW,prw,DATASET
PRW,prw,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
CUHK-SYSU,cuhk-sysu,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
CRAWDAD,NIL,DATASET
blebeacon,blebeacon,DATASET
blebeacon,blebeacon,DATASET
blebeacon,blebeacon,DATASET
blebeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
BLEBeacon,blebeacon,DATASET
Flickr30K,flickr30k,DATASET
MSCOCO,ms coco,DATASET
AlpacaEval,alpacaeval,DATASET
AlpacaEval,alpacaeval,DATASET
sst2,sst-2,DATASET
sst2,sst-2,DATASET
sst2,sst-2,DATASET
sst2,sst-2,DATASET
SST-2,sst-2,DATASET
sst-2,sst-2,DATASET
Meta-Reasoning-MATH,NIL,DATASET
mr-math_invalid_errors,NIL,DATASET
PRM800K,prm800k,DATASET
prm800k,prm800k,DATASET
mr-math_redundant_errors,NIL,DATASET
PRM800K,prm800k,DATASET
Meta-Reasoning-GSM8K,NIL,DATASET
GSM8K,gsm8k,DATASET
MR-GSM8K,NIL,DATASET
MR-GSM8K,NIL,DATASET
Perturbation,NIL,DATASET
PRM800K,prm800k,DATASET
prm800k,prm800k,DATASET
perturbatio,NIL,DATASET
mr-gsm8k,NIL,DATASET
mr-math,NIL,DATASET
mr-math,NIL,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
Connect-4,NIL,DATASET
Connect-4,NIL,DATASET
Letter,letter,DATASET
Letter,letter,DATASET
Optical recognition,NIL,DATASET
Optical recognition,NIL,DATASET
Pendigits,NIL,DATASET
Pendigits,NIL,DATASET
Protein,proteins,DATASET
Protein,proteins,DATASET
SenseIT,NIL,DATASET
SenseIT,NIL,DATASET
USPS,usps,DATASET
USPS,usps,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
kitti,kitti,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
ScribbleKITTI,scribblekitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
ScribbleKITTI,scribblekitti,DATASET
SemKITTI,semkitti-dvps,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
nuScenes,nuscenes,DATASET
SemanticKITTI,semantickitti,DATASET
kitti,kitti,DATASET
SemanticKITTI,semantickitti,DATASET
kitti,kitti,DATASET
nuScenes,nuscenes,DATASET
nuscenes,nuscenes,DATASET
nuScenes,nuscenes,DATASET
nuscenes,nuscenes,DATASET
ScribbleKITTI,scribblekitti,DATASET
scribblekitti,scribblekitti,DATASET
SemanticPOSS,semanticposs,DATASET
semanticposs,semanticposs,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
ProteinKG25,proteinkg25,DATASET
CoNLL-2003,conll 2003,DATASET
conll-2003,conll 2003,DATASET
CoNLL-2003,conll 2003,DATASET
CoNLL++,conll++,DATASET
lasot-ext,NIL,DATASET
lasot-ext,NIL,DATASET
lasot,lasot,DATASET
lasot,lasot,DATASET
tnl2k,tnl2k,DATASET
tnl2k,tnl2k,DATASET
trackingnet,trackingnet,DATASET
trackingnet,trackingnet,DATASET
youtube-vis,youtube-vis 2019,DATASET
youtube-vis,youtube-vis 2019,DATASET
ovis,ovis,DATASET
ovis,ovis,DATASET
davis,davis,DATASET
davis,davis,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
MBES,NIL,DATASET
MNIST,mnist,DATASET
mnist,mnist,DATASET
CIFAR,cifar-10,DATASET
cifar,cifar-10,DATASET
SVHN,svhn,DATASET
Food101,food-101,DATASET
food-101,food-101,DATASET
Flowers102,NIL,DATASET
Cervical,NIL,DATASET
CheXpert,chexpert,DATASET
chexpert,chexpert,DATASET
Facial Expression,NIL,DATASET
fer2013,fer2013,DATASET
Celeb,celeba,DATASET
CelebA,celeba,DATASET
Adult,adult,DATASET
COMPAS,compas,DATASET
FICO,NIL,DATASET
Boston Housing,the boston housing dataset,DATASET
German Credit,german credit dataset,DATASET
Student Admission,NIL,DATASET
Student Performance,NIL,DATASET
GMSC,gmsc,DATASET
GiveMeSomeCredit,NIL,DATASET
Diabetes,diabetes,DATASET
Breast Cancer,NIL,DATASET
Cora,cora,DATASET
CORA,cora,DATASET
Bitcoin,NIL,DATASET
CIC-IDS2017,cic-andmal2017,DATASET
ids-2017,NIL,DATASET
IMDB Review,imdb movie reviews,DATASET
VisE-D,visevent,DATASET
Visual Event Classification,visevent,DATASET
VisE-Bing,visevent,DATASET
VisE-Wiki,visevent,DATASET
VisE-Bing,visevent,DATASET
VisE-Wiki,visevent,DATASET
VisE-Bing,visevent,DATASET
VisE-Wiki,visevent,DATASET
VisE-D,visevent,DATASET
Visual Event Classification Dataset,visevent,DATASET
Visual Event Classification Dataset,visevent,DATASET
VisE-D,visevent,DATASET
vise-d,visevent,DATASET
Web Images for Event Recognition,wider,DATASET
WIDER,wider,DATASET
Social Event Dataset,NIL,DATASET
SocEID,NIL,DATASET
Rare Event Dataset,NIL,DATASET
RED,red,DATASET
wider,wider,DATASET
soceid,NIL,DATASET
red,red,DATASET
MNIST,mnist,DATASET
mnist,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
ImageNet,imagenet,DATASET
image-net,imagenet,DATASET
imagenet,imagenet,DATASET
ImageNet,imagenet,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
ImageNet_patches,imagenet-patch,DATASET
ImageNet,imagenet,DATASET
ImageNet_patches,imagenet-patch,DATASET
ImageNet,imagenet,DATASET
ImageNet_patches,imagenet-patch,DATASET
ImageNet,imagenet,DATASET
Imagenet_patches,imagenet-patch,DATASET
ImageNet,imagenet,DATASET
MNIST,mnist,DATASET
ImageNet,imagenet,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
DAMP,NIL,DATASET
DALI,NIL,DATASET
DAMP,NIL,DATASET
Sing!300x30x2,NIL,DATASET
Sing!300x30x2,NIL,DATASET
DAMP,NIL,DATASET
damp,NIL,DATASET
damp,NIL,DATASET
damp,NIL,DATASET
damp,NIL,DATASET
DALI,NIL,DATASET
DALI_v2.0,NIL,DATASET
DALI,NIL,DATASET
DALI-TALT,NIL,DATASET
DALI,NIL,DATASET
DALI-TestSet4ALT,NIL,DATASET
dali_talt,NIL,DATASET
dali-talt,NIL,DATASET
Jamendo,jamendo lyrics,DATASET
Jamendo(lyrics),jamendo lyrics,DATASET
jamendolyrics,jamendo lyrics,DATASET
jamendo,jamendo lyrics,DATASET
jamendo,jamendo lyrics,DATASET
DAMP,NIL,DATASET
DAMP,NIL,DATASET
DAMP,NIL,DATASET
damp,NIL,DATASET
damp,NIL,DATASET
dali,NIL,DATASET
dali_talt,NIL,DATASET
dali_talt,NIL,DATASET
jamendo,jamendo lyrics,DATASET
jamendo,jamendo lyrics,DATASET
damp,NIL,DATASET
DAMP,NIL,DATASET
dali,NIL,DATASET
DALI,NIL,DATASET
dali_talt,NIL,DATASET
DALI-TALT,NIL,DATASET
jamendo,jamendo lyrics,DATASET
jamendo,jamendo lyrics,DATASET
CIFAR-10,cifar-10,DATASET
CIFAR-100,cifar-100,DATASET
Ontonotes 5.0,ontonotes 5.0,DATASET
ontonotes-release-5.0,ontonotes 5.0,DATASET
conll-2012-train.v4,conll-2012,DATASET
conll-2012-development.v4,conll-2012,DATASET
conll-2012-test,conll-2012,DATASET
ontonotes,ontonotes 5.0,DATASET
ontonotes,ontonotes 5.0,DATASET
ontonotes-release-5.0,ontonotes 5.0,DATASET
ontonotes,ontonotes 5.0,DATASET
onotonotes,ontonotes 5.0,DATASET
QuAC,quac,DATASET
quac,quac,DATASET
QuAC,quac,DATASET
QuAC,quac,DATASET
quac,quac,DATASET
CANARD,canard,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
COCO Caption,coco captions,DATASET
CUB Caption,NIL,DATASET
CUB-200-2011,cub-200-2011,DATASET
CUB-200-2011,cub-200-2011,DATASET
COCO Caption,coco captions,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
ECCV Caption,NIL,DATASET
eccv-caption,NIL,DATASET
ECCV Caption,NIL,DATASET
eccv-caption,NIL,DATASET
eccv-caption,NIL,DATASET
CUB Caption,NIL,DATASET
COCO Caption,coco captions,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
CUB Caption,NIL,DATASET
CUB Caption,NIL,DATASET
cub,cub-200-2011,DATASET
cub,cub-200-2011,DATASET
cub,cub-200-2011,DATASET
cub,cub-200-2011,DATASET
cub,cub-200-2011,DATASET
cub,cub-200-2011,DATASET
cub,cub-200-2011,DATASET
cub,cub-200-2011,DATASET
ECCV Caption,NIL,DATASET
eccv-caption,NIL,DATASET
eccv_caption,NIL,DATASET
ECCV Caption,NIL,DATASET
UW,NIL,DATASET
VUMC,NIL,DATASET
UW,NIL,DATASET
UW,NIL,DATASET
UW,NIL,DATASET
UW,NIL,DATASET
VUMC,NIL,DATASET
VUMC,NIL,DATASET
VUMC,NIL,DATASET
UW,NIL,DATASET
VUMC,NIL,DATASET
Unhealthy Comments Corpus,NIL,DATASET
UCC,ucc,DATASET
Unhealthy Comments Corpus,ucc,DATASET
UCC,ucc,DATASET
UCC,ucc,DATASET
SOCC,NIL,DATASET
SFU Opinion and Comments Corpus,NIL,DATASET
SOCC,NIL,DATASET
eICUSubsampleUnobs,NIL,DATASET
CXR,NIL,DATASET
CXRBinary,NIL,DATASET
COCO,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
coco,ms coco,DATASET
YTVIS 2019,youtube-vis 2019,DATASET
ytvis_2019,youtube-vis 2019,DATASET
ytvis_2019,youtube-vis 2019,DATASET
ytvis_2019,youtube-vis 2019,DATASET
ytvis_2019,youtube-vis 2019,DATASET
COCO,ms coco,DATASET
coco,ms coco,DATASET
YTVIS2019,youtube-vis 2019,DATASET
COCO,ms coco,DATASET
ytvis_2019,youtube-vis 2019,DATASET
YTVIS 2019,youtube-vis 2019,DATASET
ytvis_2019,youtube-vis 2019,DATASET
YTVIS 2019,youtube-vis 2019,DATASET
YTVIS,youtube-vis 2019,DATASET
YouTube-VIS 2019,youtube-vis 2019,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
Thermal,NIL,DATASET
KAIST,kaist,DATASET
Thermal,NIL,DATASET
Thermal,NIL,DATASET
Thermal,NIL,DATASET
Thermal,NIL,DATASET
Thermal,NIL,DATASET
DIV2K,div2k,DATASET
DIV2K,div2k,DATASET
Urban100,urban100,DATASET
BSDS100,bsd100,DATASET
Thermal,NIL,DATASET
Thermal,NIL,DATASET
Thermal,NIL,DATASET
Thermal,NIL,DATASET
DIV2K,div2k,DATASET
KAIST,kaist,DATASET
KAIST,kaist,DATASET
SciNLI,NIL,DATASET
SciNLI,NIL,DATASET
SciNLI,NIL,DATASET
SciNLI,NIL,DATASET
SciNLI,NIL,DATASET
SNLI,snil,DATASET
MNLI,NIL,DATASET
SciNLI,NIL,DATASET
PASCAL VOC,pascal voc,DATASET
PASCAL VOC,pascal voc,DATASET
PASCAL VOC 2007,pascal voc 2007,DATASET
voc2007,vot2020,DATASET
voc2007,vot2020,DATASET
voc2007,vot2020,DATASET
PASCAL VOC,pascal voc,DATASET
PASCAL,pascal voc,DATASET
PASCAL VOC 2010,pascal voc 2011,DATASET
VOC2007,pascal voc 2007,DATASET
VOC2012,pascal voc,DATASET
ImageNet,imagenet,DATASET
VOC 2007,pascal voc,DATASET
PASCAL VOC,pascal voc,DATASET
VOC 2007,pascal voc 2007,DATASET
voc_2007,pascal voc 2007,DATASET
voc_2007,pascal voc 2007,DATASET
PASCAL VOC,pascal voc,DATASET
voc_2007,pascal voc 2007,DATASET
voc_2007,pascal voc 2007,DATASET
fast_rcnn,NIL,DATASET
voc_2007,pascal voc 2007,DATASET
voc_2007,pascal voc 2007,DATASET
voc_2012,pascal voc 2007,DATASET
voc_2012,pascal voc 2007,DATASET
VOC07,pascal voc 2007,DATASET
VOC12,pascal voc 2007,DATASET
MEDI+MTEBcls,NIL,DATASET
MEDI+MTEBcls,NIL,DATASET
MEDI+MTEBcls,NIL,DATASET
MEDI+MTEBcls,NIL,DATASET
MEDI,NIL,DATASET
MTEB Classification,mteb,DATASET
avsolatorio/medi-data-mteb_avs_triplets,NIL,DATASET
avsolatorio/medi-data-mteb_avs_triplets,NIL,DATASET
mteb,mteb,DATASET
MEDI,NIL,DATASET
MTEB,mteb,DATASET
MTEB,mteb,DATASET
mteb,mteb,DATASET
USPTO,uspto-50k,DATASET
ZINC,zinc,DATASET
USPTO,uspto-50k,DATASET
USPTO,uspto-50k,DATASET
LIDC-IDRI,lidc-idri,DATASET
LUNA16,luna16,DATASET
LIDC-IDRI,lidc-idri,DATASET
LUNA16,luna16,DATASET
LIDC-IDRI,lidc-idri,DATASET
LUNA16,luna16,DATASET
ELCAP,NIL,DATASET
NSCLC,NIL,DATASET
ANODE09,NIL,DATASET
THUMOS14,thumos14,DATASET
ActivityNet 1.3,activitynet,DATASET
EPIC-Kitchens 100,epic-kitchens-100,DATASET
Ego4D Moment Queries,NIL,DATASET
Ego4D Moment Queries,NIL,DATASET
Ego4D,ego4d,DATASET
ActivityNet,activitynet,DATASET
THUMOS14,thumos14,DATASET
ActivityNet,activitynet,DATASET
EPIC-Kitchens 100,epic-kitchens-100,DATASET
THUMOS14,thumos14,DATASET
thumos,thumos14,DATASET
ActivityNet,activitynet,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
THUMOS,thumos14,DATASET
THUMOS 14,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
thumos,thumos14,DATASET
ActivityNet 1.3,activitynet,DATASET
ActivityNet,activitynet,DATASET
ActivityNet,activitynet,DATASET
ActivityNet,activitynet,DATASET
ActivityNet 1.3,activitynet,DATASET
EPIC Kitchens 100,epic-kitchens-100,DATASET
epic_kitchens,epic-kitchens-55,DATASET
SlowFast,NIL,DATASET
ActivityNet,activitynet,DATASET
EPIC Kitchens 100,epic-kitchens-100,DATASET
EPIC Kitchens,epic-kitchens-100,DATASET
SlowFast,NIL,DATASET
SlowFast,NIL,DATASET
EPIC Kitchens,epic-kitchens-100,DATASET
EPIC-Kitchens 100,epic-kitchens-100,DATASET
Ego4D Moment Queries,NIL,DATASET
SlowFast,NIL,DATASET
Omnivore,NIL,DATASET
Ego4D,ego4d,DATASET
EgoVLP,NIL,DATASET
Omnivore,NIL,DATASET
EgoVLP,NIL,DATASET
Ego4D,ego4d,DATASET
Ego4D,ego4d,DATASET
ego4d_omnivore_egovlp,NIL,DATASET
ego4d_omnivore_egovlp,NIL,DATASET
ego4d_omnivore_egovlp,NIL,DATASET
ego4d_omnivore_egovlp,NIL,DATASET
ego4d_omnivore_egovlp,NIL,DATASET
ego4d_omnivore_egovlp,NIL,DATASET
ego4d_omnivore_egovlp,NIL,DATASET
Ego4D,ego4d,DATASET
MedQA,medqa,DATASET
MedMCQA,medmcqa,DATASET
PubMedQA,pubmedqa,DATASET
MMLU (medical subsets),mmlu,DATASET
CareQA,care,DATASET
FICO,NIL,DATASET
Xsum,xsum,DATASET
SST2,sst-2,DATASET
Squad,squad,DATASET
CONLL,conll,DATASET
CIFAR10 (TinyImagenet),NIL,DATASET
SemanticKITTI,semantickitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
semantic-kitti,semantickitti,DATASET
SemanticPOSS,semanticposs,DATASET
semanticposs,semanticposs,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
SemanticPOSS,semanticposs,DATASET
SemanticKITTI,semantickitti,DATASET
SVHN,svhn,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
wordnet31,NIL,DATASET
ImageNet-LT,imagenet-lt,DATASET
iNaturalist 2018,inaturalist,DATASET
Places-LT,places-lt,DATASET
COCO,ms coco,DATASET
COCO2017,ms coco,DATASET
