entity_text,zenodo_gold_name,entity_type,gold_name,sentence
fingpt-sentiment-train,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
FinGPT/fingpt-sentiment-train,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
fingpt-finred,finred,DATASET,finred,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
FinGPT/fingpt-finred,finred,DATASET,finred,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
FinGPT/fingpt-headline,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
fingpt-ner,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
FinGPT/fingpt-ner,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
fingpt-fiqa_qa,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
FinGPT/fingpt-fiqa_qa,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
fingpt-fineval,NIL,DATASET,NIL,"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc."
