sentence,entity_text,entity_type
"We mix relations in two triplet relation.  #### Generate your own pre-training data  For generating your own pre-training data, you need download following raw data:  - `go.obo`: the structure data of Gene Ontology.",Gene Ontology,ONTOLOGY
The download link and detailed format see in [Gene Ontology](http://geneontology.org/docs/download-ontology/)` - `uniprot_sprot.dat`: protein Swiss-Prot database.,Gene Ontology,ONTOLOGY
The download link and detailed format see in [Gene Ontology](http://geneontology.org/docs/download-ontology/)` - `uniprot_sprot.dat`: protein Swiss-Prot database.,geneontology,ONTOLOGY
"**Notice: the best checkpoint is saved in** `OUTPUT_DIR/`.  ## How to Cite ``` @inproceedings{ zhang2022ontoprotein, title={OntoProtein: Protein Pretraining With Gene Ontology Embedding}, author={Ningyu Zhang and Zhen Bi and Xiaozhuan Liang and Siyuan Cheng and Haosen Hong and Shumin Deng and Qiang Zhang and Jiazhang Lian and Huajun Chen}, booktitle={International Conference on Learning Representations}, year={2022}, url={https://openreview.net/forum?",Gene Ontology,ONTOLOGY
"The paper is available on: - *Computer Vision Foundation (CVF)*: https://openaccess.thecvf.com/content/WACV2021/html/Muller-Budack_Ontology-Driven_Event_Type_Classification_in_Images_WACV_2021_paper.html - *arXiv*: https://arxiv.org/pdf/2011.04714.pdf  Further information can be found on the **EventKG** website: http://eventkg.l3s.uni-hannover.de/VisE   ## Content  - [Ontology-driven Event Type Classification in Images](#ontology-driven-event-type-classification-in-images)   - [Content](#content)   - [Setup](#setup)     - [Setup with Singularity (for Reproducibility)](#setup-with-singularity-for-reproducibility)     - [Setup with Virtual Environment](#setup-with-virtual-environment)     - [Setup with Docker](#setup-with-docker)   - [Download Ontology, Dataset and Models](#download-ontology-dataset-and-models)   - [Models](#models)   - [Inference](#inference)   - [Test](#test)   - [VisE-D: Visual Event Classification Dataset](#vise-d-visual-event-classification-dataset)   - [VisE-O: Visual Event Ontology](#vise-o-visual-event-ontology)   - [Benchmark Ontologies](#benchmark-ontologies)   - [Supplemental Material](#supplemental-material)   - [LICENSE](#license)   ## Setup  We provide three different ways to setup the project.",VisE-O,ONTOLOGY
"The paper is available on: - *Computer Vision Foundation (CVF)*: https://openaccess.thecvf.com/content/WACV2021/html/Muller-Budack_Ontology-Driven_Event_Type_Classification_in_Images_WACV_2021_paper.html - *arXiv*: https://arxiv.org/pdf/2011.04714.pdf  Further information can be found on the **EventKG** website: http://eventkg.l3s.uni-hannover.de/VisE   ## Content  - [Ontology-driven Event Type Classification in Images](#ontology-driven-event-type-classification-in-images)   - [Content](#content)   - [Setup](#setup)     - [Setup with Singularity (for Reproducibility)](#setup-with-singularity-for-reproducibility)     - [Setup with Virtual Environment](#setup-with-virtual-environment)     - [Setup with Docker](#setup-with-docker)   - [Download Ontology, Dataset and Models](#download-ontology-dataset-and-models)   - [Models](#models)   - [Inference](#inference)   - [Test](#test)   - [VisE-D: Visual Event Classification Dataset](#vise-d-visual-event-classification-dataset)   - [VisE-O: Visual Event Ontology](#vise-o-visual-event-ontology)   - [Benchmark Ontologies](#benchmark-ontologies)   - [Supplemental Material](#supplemental-material)   - [LICENSE](#license)   ## Setup  We provide three different ways to setup the project.",Visual Event Ontology,ONTOLOGY
"To download the images from the provided URLs, please run the following command:  ```shell script python download_images.py -d </path/to/dataset.jsonl> -o </path/to/output/root_directory/> ```  Optional parameters:  ```-t <int>``` sets the number of parallel threads (default ```32```)  ```-r <int>``` sets the number of retries to download an image (default ```5```)  ```--max_img_dim <int>``` sets the dimension of the longer image dimension (default ```512```)   ## VisE-O: Visual Event Ontology  In Section 3.2 of the paper, we have presented several methods to create an *Ontology* for newsworthy event types.",VisE-O,ONTOLOGY
"To download the images from the provided URLs, please run the following command:  ```shell script python download_images.py -d </path/to/dataset.jsonl> -o </path/to/output/root_directory/> ```  Optional parameters:  ```-t <int>``` sets the number of parallel threads (default ```32```)  ```-r <int>``` sets the number of retries to download an image (default ```5```)  ```--max_img_dim <int>``` sets the dimension of the longer image dimension (default ```512```)   ## VisE-O: Visual Event Ontology  In Section 3.2 of the paper, we have presented several methods to create an *Ontology* for newsworthy event types.",Visual Event Ontology,ONTOLOGY
"Different versions of the *Visual Event Ontology (VisE-O)* can be downloaded here: [link](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/99ce7e4d-df5b-40f6-afb4-16085dbf697d/download/vise-d.tar.gz)  Furthermore you can explore the *Ontologies* using the following links:  - **Initial Ontology** (result of Section 3.2.2): [explore](https://tibhannover.github.io/VisE/VisE-O_initial/index.html) - **Disambiguated Ontology** (result of Section 3.2.3): [explore](https://tibhannover.github.io/VisE/VisE-O_disambiguated/index.html) - **Refined Ontology** (result of Section 3.2.4): [explore](https://tibhannover.github.io/VisE/VisE-O_refined/index.html)  **USAGE:** After opening an *Ontology*, the *Leaf Event Nodes* (blue), *Branch Event Nodes* (orange), and *Root Node* (yellow) as well as their *Relations* are displayed.",Visual Event Ontology,ONTOLOGY
"Different versions of the *Visual Event Ontology (VisE-O)* can be downloaded here: [link](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/99ce7e4d-df5b-40f6-afb4-16085dbf697d/download/vise-d.tar.gz)  Furthermore you can explore the *Ontologies* using the following links:  - **Initial Ontology** (result of Section 3.2.2): [explore](https://tibhannover.github.io/VisE/VisE-O_initial/index.html) - **Disambiguated Ontology** (result of Section 3.2.3): [explore](https://tibhannover.github.io/VisE/VisE-O_disambiguated/index.html) - **Refined Ontology** (result of Section 3.2.4): [explore](https://tibhannover.github.io/VisE/VisE-O_refined/index.html)  **USAGE:** After opening an *Ontology*, the *Leaf Event Nodes* (blue), *Branch Event Nodes* (orange), and *Root Node* (yellow) as well as their *Relations* are displayed.",VisE-O,ONTOLOGY
"Different versions of the *Visual Event Ontology (VisE-O)* can be downloaded here: [link](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/99ce7e4d-df5b-40f6-afb4-16085dbf697d/download/vise-d.tar.gz)  Furthermore you can explore the *Ontologies* using the following links:  - **Initial Ontology** (result of Section 3.2.2): [explore](https://tibhannover.github.io/VisE/VisE-O_initial/index.html) - **Disambiguated Ontology** (result of Section 3.2.3): [explore](https://tibhannover.github.io/VisE/VisE-O_disambiguated/index.html) - **Refined Ontology** (result of Section 3.2.4): [explore](https://tibhannover.github.io/VisE/VisE-O_refined/index.html)  **USAGE:** After opening an *Ontology*, the *Leaf Event Nodes* (blue), *Branch Event Nodes* (orange), and *Root Node* (yellow) as well as their *Relations* are displayed.",VisE-O,ONTOLOGY
"Different versions of the *Visual Event Ontology (VisE-O)* can be downloaded here: [link](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/99ce7e4d-df5b-40f6-afb4-16085dbf697d/download/vise-d.tar.gz)  Furthermore you can explore the *Ontologies* using the following links:  - **Initial Ontology** (result of Section 3.2.2): [explore](https://tibhannover.github.io/VisE/VisE-O_initial/index.html) - **Disambiguated Ontology** (result of Section 3.2.3): [explore](https://tibhannover.github.io/VisE/VisE-O_disambiguated/index.html) - **Refined Ontology** (result of Section 3.2.4): [explore](https://tibhannover.github.io/VisE/VisE-O_refined/index.html)  **USAGE:** After opening an *Ontology*, the *Leaf Event Nodes* (blue), *Branch Event Nodes* (orange), and *Root Node* (yellow) as well as their *Relations* are displayed.",VisE-O,ONTOLOGY
"The resulting *Ontologies* for these datasets can be downloaded and explored here: - **WIDER Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/b1c2f92b-4b69-46fc-9282-16acc7a1c9aa/download/wider.tar.gz) | [explore](https://tibhannover.github.io/VisE/WIDER/index.html) - **SocEID Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/a8373c98-32a8-408c-b8e9-51e6b1e01777/download/soceid.tar.gz) | [explore](https://tibhannover.github.io/VisE/SocEID/index.html) - **RED Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/d0f5cd8b-7c3e-4055-9810-f9cba2b69a33/download/red.tar.gz) | [explore](https://tibhannover.github.io/VisE/RED/index.html)  ## Supplemental Material  Detailed information on the sampling strategy to gather event images, statistics for the training and testing datasets presented in Section 3.3, and results using different inference strategies (Section 4.2.3) are available in the [vise_supplemental.pdf](vise_supplemental.pdf).    ## LICENSE  This work is published under the GNU GENERAL PUBLIC LICENSE Version 3, 29 June 2007.",WIDER Ontology,ONTOLOGY
"The resulting *Ontologies* for these datasets can be downloaded and explored here: - **WIDER Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/b1c2f92b-4b69-46fc-9282-16acc7a1c9aa/download/wider.tar.gz) | [explore](https://tibhannover.github.io/VisE/WIDER/index.html) - **SocEID Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/a8373c98-32a8-408c-b8e9-51e6b1e01777/download/soceid.tar.gz) | [explore](https://tibhannover.github.io/VisE/SocEID/index.html) - **RED Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/d0f5cd8b-7c3e-4055-9810-f9cba2b69a33/download/red.tar.gz) | [explore](https://tibhannover.github.io/VisE/RED/index.html)  ## Supplemental Material  Detailed information on the sampling strategy to gather event images, statistics for the training and testing datasets presented in Section 3.3, and results using different inference strategies (Section 4.2.3) are available in the [vise_supplemental.pdf](vise_supplemental.pdf).    ## LICENSE  This work is published under the GNU GENERAL PUBLIC LICENSE Version 3, 29 June 2007.",SocEID Ontology,ONTOLOGY
"The resulting *Ontologies* for these datasets can be downloaded and explored here: - **WIDER Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/b1c2f92b-4b69-46fc-9282-16acc7a1c9aa/download/wider.tar.gz) | [explore](https://tibhannover.github.io/VisE/WIDER/index.html) - **SocEID Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/a8373c98-32a8-408c-b8e9-51e6b1e01777/download/soceid.tar.gz) | [explore](https://tibhannover.github.io/VisE/SocEID/index.html) - **RED Ontology**: [download](https://data.uni-hannover.de/dataset/3afb333d-230f-4829-91bb-d4dd41bfdcfa/resource/d0f5cd8b-7c3e-4055-9810-f9cba2b69a33/download/red.tar.gz) | [explore](https://tibhannover.github.io/VisE/RED/index.html)  ## Supplemental Material  Detailed information on the sampling strategy to gather event images, statistics for the training and testing datasets presented in Section 3.3, and results using different inference strategies (Section 4.2.3) are available in the [vise_supplemental.pdf](vise_supplemental.pdf).    ## LICENSE  This work is published under the GNU GENERAL PUBLIC LICENSE Version 3, 29 June 2007.",RED Ontology,ONTOLOGY
The latest maintenance of MDO has been migrated to [LiUSemWeb/Materials-Design-Ontology](https://github.com/LiUSemWeb/Materials-Design-Ontology).   ### What is Materials Design Ontology?,MDO,ONTOLOGY
The latest maintenance of MDO has been migrated to [LiUSemWeb/Materials-Design-Ontology](https://github.com/LiUSemWeb/Materials-Design-Ontology).   ### What is Materials Design Ontology?,Materials-Design-Ontology,ONTOLOGY
The latest maintenance of MDO has been migrated to [LiUSemWeb/Materials-Design-Ontology](https://github.com/LiUSemWeb/Materials-Design-Ontology).   ### What is Materials Design Ontology?,Materials-Design-Ontology,ONTOLOGY
The latest maintenance of MDO has been migrated to [LiUSemWeb/Materials-Design-Ontology](https://github.com/LiUSemWeb/Materials-Design-Ontology).   ### What is Materials Design Ontology?,Materials Design Ontology,ONTOLOGY
"MDO is an ontology for materials design field, representing the domain knowledge specifically related to solid-state physics and computational materials science.  ### What does Materials Design Ontology consist of?",MDO,ONTOLOGY
"MDO is an ontology for materials design field, representing the domain knowledge specifically related to solid-state physics and computational materials science.  ### What does Materials Design Ontology consist of?",Materials Design Ontology,ONTOLOGY
"Materials Design Ontology consists of 4 modules which are:  * [Core](https://w3id.org/mdo/core/1.0): This module consists of the top-level concepts and relationships of the materials design ontology, which are also reused in other modules",Materials Design Ontology,ONTOLOGY
"Materials Design Ontology consists of 4 modules which are:  * [Core](https://w3id.org/mdo/core/1.0): This module consists of the top-level concepts and relationships of the materials design ontology, which are also reused in other modules",mdo,ONTOLOGY
"Materials Design Ontology consists of 4 modules which are:  * [Core](https://w3id.org/mdo/core/1.0): This module consists of the top-level concepts and relationships of the materials design ontology, which are also reused in other modules",materials design ontology,ONTOLOGY
* [Structure](https://w3id.org/mdo/structure/1.0): The structure module is intended to represent the structural information of materials.,mdo,ONTOLOGY
* [Calculation](https://w3id.org/mdo/calculation/1.0): This module is intended to represent the classification of different computational methods,mdo,ONTOLOGY
* [Provenance](https://w3id.org/mdo/provenance/1.0): This module is intended to represent the provenance information of materials data and calculation,mdo,ONTOLOGY
* A full MDO importing all the above modules is avaliable at [MDO Full](https://w3id.org/mdo/full/1.0).  ### MDO Concepts and Relationships !,MDO,ONTOLOGY
* A full MDO importing all the above modules is avaliable at [MDO Full](https://w3id.org/mdo/full/1.0).  ### MDO Concepts and Relationships !,MDO,ONTOLOGY
* A full MDO importing all the above modules is avaliable at [MDO Full](https://w3id.org/mdo/full/1.0).  ### MDO Concepts and Relationships !,mdo,ONTOLOGY
* A full MDO importing all the above modules is avaliable at [MDO Full](https://w3id.org/mdo/full/1.0).  ### MDO Concepts and Relationships !,MDO,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/MDO.png ""MDO concepts and relationships"")   ### MDO Vision !",mdo,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/MDO.png ""MDO concepts and relationships"")   ### MDO Vision !",MDO,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/MDO.png ""MDO concepts and relationships"")   ### MDO Vision !",MDO,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/MDO.png ""MDO concepts and relationships"")   ### MDO Vision !",MDO,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/new-vision.png ""MDO vision"")  ### MDO Instantiation  !",mdo,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/new-vision.png ""MDO vision"")  ### MDO Instantiation  !",MDO,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/new-vision.png ""MDO vision"")  ### MDO Instantiation  !",MDO,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/instances-output.png ""MDO instantiation"")  ### Publication  Li H, Armiento R, Lambrix P, ""An Ontology for the Materials Design Domain"", [published version](https://link.springer.com/chapter/10.1007/978-3-030-62466-8_14) (accepted at ISWC 2020)  ### Talk * [Poster](https://huanyu-li.github.io/posters/mdo-poster-paper276.pdf) * [Presentation of the poster](https://www.youtube.com/watch?",mdo,ONTOLOGY
"[entities](https://huanyu-li.github.io/figures/mdo/instances-output.png ""MDO instantiation"")  ### Publication  Li H, Armiento R, Lambrix P, ""An Ontology for the Materials Design Domain"", [published version](https://link.springer.com/chapter/10.1007/978-3-030-62466-8_14) (accepted at ISWC 2020)  ### Talk * [Poster](https://huanyu-li.github.io/posters/mdo-poster-paper276.pdf) * [Presentation of the poster](https://www.youtube.com/watch?",MDO,ONTOLOGY
"It models the relationship between event types through ontology embedding: it can transfer knowledge of high-resource event types to low-resource ones, and the unseen event type can establish connection with seen ones via event ontology.   ## Project Structure The structure of data and code is as follows:   ```shell Reasoning_In_EE ├── README.md ├── OntoED   # model │   ├── README.md │   ├── data_utils.py  # for data processing │   ├── ontoed.py   # main model │   ├── run_ontoed.py  # for model running │   └── run_ontoed.sh  # bash file for model running ├── OntoEvent  # data │   ├── README.md │   ├── __init__.py │   ├── event_dict_data_on_doc.json.zip  # raw full ED data │   ├── event_dict_train_data.json   # ED data for training │   ├── event_dict_test_data.json   # ED data for testing │   ├── event_dict_valid_data.json   # ED data for validation │   └── event_relation.json     # event-event relation data └── baselines  # baseline models     ├── DMCNN     │   ├── README.md     │   ├── convert.py   # for data processing     │   ├── data    # data     │   │   └── labels.json     │   ├── dmcnn.config  # configure training & testing     │   ├── eval.sh    # bash file for model evaluation     │   ├── formatter     │   │   ├── DmcnnFormatter.py # runtime data processing     │   │   └── __init__.py     │   ├── main.py    # project entrance     │   ├── model     │   │   ├── Dmcnn.py  # main model     │   │   └── __init__.py     │   ├── raw     │   │   └── 100.utf8  # word vector     │   ├── reader     │   │   ├── MavenReader.py # runtime data reader     │   │   └── __init__.py     │   ├── requirements.txt # requirements     │   ├── train.sh   # bash file for model training     │   └── utils     │       ├── __init__.py     │       ├── configparser_hook.py     │       ├── evaluation.py     │       ├── global_variables.py     │       ├── initializer.py     │       └── runner.py     ├── JMEE     │   ├── README.md     │   ├── data    # to store data file     │   ├── enet     │   │   ├── __init__.py     │   │   ├── consts.py  # configurable parameters     │   │   ├── corpus     │   │   │   ├── Corpus.py # dataset class     │   │   │   ├── Data.py     │   │   │   ├── Sentence.py     │   │   │   └── __init__.py     │   │   ├── models   # modules of JMEE     │   │   │   ├── DynamicLSTM.py     │   │   │   ├── EmbeddingLayer.py     │   │   │   ├── GCN.py     │   │   │   ├── HighWay.py     │   │   │   ├── SelfAttention.py     │   │   │   ├── __init__.py     │   │   │   ├── ee.py     │   │   │   └── model.py # main model     │   │   ├── run     │   │   │   ├── __init__.py     │   │   │   └── ee     │   │   │       ├── __init__.py     │   │   │       └── runner.py # runner class     │   │   ├── testing.py  # evaluation     │   │   ├── training.py  # training     │   │   └── util.py     │   ├── eval.sh    # bash file for model evaluation     │   ├── requirements.txt # requirements     │   └── train.sh   # bash file for model training     ├── README.md     ├── eq1.png     ├── eq2.png     ├── jointEE-NN     │   ├── README.md     │   ├── data     │   │   └── fistDoc.nnData4.txt # data format sample     │   ├── evaluateJEE.py   # model evaluation     │   ├── jeeModels.py   # main model     │   ├── jee_processData.py  # data process     │   └── jointEE.py    # project entrance     └── stanford.zip   # cleaned dataset for baseline models ```  ## Requirements  - python==3.6.9  - torch==1.8.0 (lower may also be OK)  - transformers==2.8.0  - sklearn==0.20.2   ## Usage   **1.",event ontology,ONTOLOGY
"It should contains:  ```json {     ""server-address"": ""http://pgxlod.loria.fr/sparql"",     ""url-json-conf-attribute"": ""format"",     ""url-json-conf-value"": ""application/sparql-results+json"",     ""url-default-graph-attribute"": ""default-graph-uri"",     ""url-default-graph-value"": ""http://pgxlod.loria.fr/"",     ""url-query-attribute"": ""query"",     ""timeout"": 10000000,     ""relation-types"": [         ""http://pgxo.loria.fr/PharmacogenomicRelationship""     ],     ""dimensions"": {         ""GeneticFactor"": {             ""ind-types"": [                 ""http://pgxo.loria.fr/GeneticFactor""             ],             ""rel2ind-predicates"": [                 ""http://pgxo.loria.fr/isAssociatedWith"",                 ""http://pgxo.loria.fr/isNotAssociatedWith""             ],             ""ind2dep-predicates"": [             ],             ""preorder"": ""Individuals"",             ""ind-leq-predicates"": [                 ""http://purl.obolibrary.org/obo/BFO_0000050""             ],             ""ind-geq-predicates"": [                 ""http://purl.obolibrary.org/obo/BFO_0000051""             ]         },         ""Drug"": {             ""ind-types"": [                 ""http://pgxo.loria.fr/Drug""             ],             ""rel2ind-predicates"": [                 ""http://pgxo.loria.fr/isAssociatedWith"",                 ""http://pgxo.loria.fr/isNotAssociatedWith""             ],             ""ind2dep-predicates"": [             ],             ""preorder"": ""Annotations"",             ""ann-base-uris"": [                 ""http://purl.obolibrary.org/obo/CHEBI_"",                 ""http://bio2rdf.org/chebi:"",                 ""http://identifiers.org/chebi/"",                 ""http://purl.bioontology.org/ontology/UATC/"",                 ""http://bio2rdf.org/atc:"",                 ""http://identifiers.org/atc/""             ],             ""ind2ann-predicates"": [                 ""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""             ],             ""ann-leq-predicates"": [                 ""http://www.w3.org/2000/01/rdf-schema#subClassOf""             ],             ""ann-geq-predicates"": [             ]         },         ""Phenotype"": {             ""ind-types"": [                 ""http://pgxo.loria.fr/Phenotype""             ],             ""rel2ind-predicates"": [                 ""http://pgxo.loria.fr/isAssociatedWith"",                 ""http://pgxo.loria.fr/isNotAssociatedWith""             ],             ""ind2dep-predicates"": [                 ""http://purl.obolibrary.org/obo/RO_0002502""             ],             ""preorder"": ""Annotations"",             ""ann-base-uris"": [                 ""http://purl.bioontology.org/ontology/MESH/"",                 ""http://bio2rdf.org/mesh:"",                 ""http://identifiers.org/mesh/""             ],             ""ind2ann-predicates"": [                 ""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""             ],             ""ann-leq-predicates"": [                 ""http://www.w3.org/2000/01/rdf-schema#subClassOf""             ],             ""ann-geq-predicates"": [             ]         }     },     ""output-pred-equal"": ""http://www.w3.org/2002/07/owl#sameAs"",     ""output-pred-equiv"": ""http://www.w3.org/2004/02/skos/core#closeMatch"",     ""output-pred-leq"": ""http://www.w3.org/2004/02/skos/core#broadMatch"",     ""output-pred-geq"": ""http://www.w3.org/2004/02/skos/core#narrowMatch"",     ""output-pred-comparable"": ""http://www.w3.org/2004/02/skos/core#relatedMatch"",     ""output-pred-dependency-related"": ""http://www.w3.org/2004/02/skos/core#related"" } ```  with:  * _server-address_: address of the SPARQL endpoint to query * _url-json-conf-attribute_: URL attribute to use to get JSON results * _url-json-conf-value_: value of the _url-json-conf-attribute_ to get JSON results * _url-default-graph-attribute_: URL attribute to use to define the default graph * _url-default-graph-value_: value of _url-default-graph-attribute_ to define the default graph * _url-query-attribute_: URL attribute to use to define the query * _timeout_: timeout value for HTTP requests * _relation-types_: URIs of classes whose instances are relationships to reconcile * _dimensions_: dictionary of dimensions.",BFO,ONTOLOGY
