sentence,entity_text,entity_type
"```python from GRANDE import GRANDE  params = {         'depth': 5, # tree depth         'n_estimators': 2048, # number of estimators / trees          'learning_rate_weights': 0.005, # learning rate for leaf weights         'learning_rate_index': 0.01, # learning rate for split indices         'learning_rate_values': 0.01, # learning rate for split values         'learning_rate_leaf': 0.01, # learning rate for leafs (logits)          'optimizer': 'adam', # optimizer         'cosine_decay_steps': 0, # decay steps for lr schedule (CosineDecayRestarts)          'loss': 'crossentropy', # loss function (default 'crossentropy' for binary & multi-class classification and 'mse' for regression)         'focal_loss': False, # use focal loss {True, False}         'temperature': 0.0, # temperature for stochastic re-weighted GD (0.0, 1.0)          'from_logits': True, # use logits for weighting {True, False}         'use_class_weights': True, # use class weights for training {True, False}          'dropout': 0.0, # dropout rate (here, dropout randomly disables individual estimators of the ensemble during training)          'selected_variables': 0.8, # feature subset percentage (0.0, 1.0)         'data_subset_fraction': 1.0, # data subset percentage (0.0, 1.0) }  args = {     'epochs': 1_000, # number of epochs for training     'early_stopping_epochs': 25, # patience for early stopping (best weights are restored)     'batch_size': 64,  # batch size for training      'cat_idx': categorical_feature_indices, # put list of categorical indices     'objective': 'binary', # objective / task {'binary', 'classification', 'regression'}          'random_seed': 42,     'verbose': 1,        }  model_grande = GRANDE(params=params, args=args)  model_grande.fit(X_train=X_train,           y_train=y_train,           X_val=X_valid,           y_val=y_valid)  preds_grande = model_grande.predict(X_test)  ```  ### Evaluate Model  ```python preds = model_grande.predict(X_test)  if args['objective'] == 'binary':     accuracy = sklearn.metrics.accuracy_score(y_test, np.round(preds_grande[:,1]))     f1_score = sklearn.metrics.f1_score(y_test, np.round(preds_grande[:,1]), average='macro')     roc_auc = sklearn.metrics.roc_auc_score(y_test, preds_grande[:,1], average='macro')          print('Accuracy:', accuracy)     print('F1 Score:', f1_score)     print('ROC AUC:', roc_auc) elif args['objective'] == 'classification':     accuracy = sklearn.metrics.accuracy_score(y_test, np.argmax(preds_grande, axis=1))     f1_score = sklearn.metrics.f1_score(y_test, np.argmax(preds_grande, axis=1), average='macro')     roc_auc = sklearn.metrics.roc_auc_score(y_test, preds_grande, average='macro', multi_class='ovo', labels=[i for i in range(preds_grande.shape[1])])      print('Accuracy GRANDE:', accuracy)     print('F1 Score GRANDE:', f1_score)     print('ROC AUC GRANDE:', roc_auc) else:     mean_absolute_error = sklearn.metrics.mean_absolute_error(y_test, np.round(preds_grande))     r2_score = sklearn.metrics.r2_score(y_test, np.round(preds_grande))      print('MAE GRANDE:', mean_absolute_error)     print('R2 Score GRANDE:', r2_score) ```  ## More  Please note that this is an experimental implementation which is not fully tested yet.",python,PROGLANG
# Installation  By using Pip (check the last release)  ```shell script pip install a2t ```  By clonning the repository  ```shell script git clone https://github.com/osainz59/Ask2Transformers.git cd Ask2Transformers pip install . ```  Or directly by ```shell script pip install git+https://github.com/osainz59/Ask2Transformers ```  <!,shell,PROGLANG
# Installation  By using Pip (check the last release)  ```shell script pip install a2t ```  By clonning the repository  ```shell script git clone https://github.com/osainz59/Ask2Transformers.git cd Ask2Transformers pip install . ```  Or directly by ```shell script pip install git+https://github.com/osainz59/Ask2Transformers ```  <!,shell,PROGLANG
# Installation  By using Pip (check the last release)  ```shell script pip install a2t ```  By clonning the repository  ```shell script git clone https://github.com/osainz59/Ask2Transformers.git cd Ask2Transformers pip install . ```  Or directly by ```shell script pip install git+https://github.com/osainz59/Ask2Transformers ```  <!,shell,PROGLANG
[Python 3.8](https://img.shields.io/badge/python-3.6-blue.svg)](https://www.python.org/downloads/release/python-360/) [!,python,PROGLANG
"/fingpt)   + **FinGPT by finetuning ChatGLM2 / Llama2 with LoRA with the market-labeled data for the Chinese Market**   ## Instruction Tuning Datasets and Models The datasets we used, and the **multi-task financial LLM** models are available at <https://huggingface.co/FinGPT>  [Our Code](https://github.com/AI4Finance-Foundation/FinGPT/tree/master/fingpt/FinGPT_Benchmark)      | Datasets | Train Rows |  Test Rows |Description  |   | --------- | ----------------- | ------------ | --------------------- |   | [fingpt-sentiment-train](https://huggingface.co/datasets/FinGPT/fingpt-sentiment-train) | 76.8K | N/A|Sentiment Analysis Training Instructions |   | [fingpt-finred](https://huggingface.co/datasets/FinGPT/fingpt-finred)| 27.6k | 5.11k | Financial Relation Extraction Instructions |   | [fingpt-headline](https://huggingface.co/datasets/FinGPT/fingpt-headline) | 82.2k | 20.5k | Financial Headline Analysis Instructions|   | [fingpt-ner](https://huggingface.co/datasets/FinGPT/fingpt-ner) | 511   | 98  | Financial Named-Entity Recognition Instructions|   | [fingpt-fiqa_qa](https://huggingface.co/datasets/FinGPT/fingpt-fiqa_qa) | 17.1k   | N/A  | Financial Q&A Instructions|   | [fingpt-fineval](https://huggingface.co/datasets/FinGPT/fingpt-fineval) | 1.06k   | 265  | Chinese Multiple-Choice Questions Instructions|    Multi-task financial LLMs Models: ```python   demo_tasks = [       'Financial Sentiment Analysis',       'Financial Relation Extraction',       'Financial Headline Classification',       'Financial Named Entity Recognition',]   demo_inputs = [       ""Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"",       ""Apple Inc.",python,PROGLANG
"model=text-davinci-003)    Financial News + [Algorithmic Trading using Sentiment Analysis on News Articles](https://towardsdatascience.com/https-towardsdatascience-com-algorithmic-trading-using-sentiment-analysis-on-news-articles-83db77966704) + [Accessing Historical Financial News Headlines with Python](https://python.plainenglish.io/access-historical-financial-news-headlines-with-python-be1b8faaea9f)  **PromptNet** Analogy to ImageNet and WordNet, it is critical to build a PromptNet",Python,PROGLANG
"model=text-davinci-003)    Financial News + [Algorithmic Trading using Sentiment Analysis on News Articles](https://towardsdatascience.com/https-towardsdatascience-com-algorithmic-trading-using-sentiment-analysis-on-news-articles-83db77966704) + [Accessing Historical Financial News Headlines with Python](https://python.plainenglish.io/access-historical-financial-news-headlines-with-python-be1b8faaea9f)  **PromptNet** Analogy to ImageNet and WordNet, it is critical to build a PromptNet",python,PROGLANG
"model=text-davinci-003)    Financial News + [Algorithmic Trading using Sentiment Analysis on News Articles](https://towardsdatascience.com/https-towardsdatascience-com-algorithmic-trading-using-sentiment-analysis-on-news-articles-83db77966704) + [Accessing Historical Financial News Headlines with Python](https://python.plainenglish.io/access-historical-financial-news-headlines-with-python-be1b8faaea9f)  **PromptNet** Analogy to ImageNet and WordNet, it is critical to build a PromptNet",python,PROGLANG
v=Nl2Cdbao5Ws)  + [OpenAI API for GPT-3](https://platform.openai.com/docs/models/gpt-3) + [ChatGPT-wrapper: python and shell](https://github.com/mmabrouk/chatgpt-wrapper) + [OpenAI Examples Library](https://platform.openai.com/examples) + [GPT-3 Sandbox (Github)](https://github.com/shreyashankar/gpt3-sandbox) Enable users to create cool web demos using OpenAI GPT-3 API. + [Exploring the Capabilities of the ChatGPT API: A Beginner’s Guide](https://levelup.gitconnected.com/exploring-the-capabilities-of-the-chatgpt-api-a-beginners-guide-e9089d49961f) + [Reverse engineered ChatGPT API](https://github.com/acheong08/ChatGPT)  **Prompting programming**  ## ChatGPT relatives:   [A Release Timeline](https://github.com/osanseviero/ml_timeline) of many LLMs.,python,PROGLANG
v=Nl2Cdbao5Ws)  + [OpenAI API for GPT-3](https://platform.openai.com/docs/models/gpt-3) + [ChatGPT-wrapper: python and shell](https://github.com/mmabrouk/chatgpt-wrapper) + [OpenAI Examples Library](https://platform.openai.com/examples) + [GPT-3 Sandbox (Github)](https://github.com/shreyashankar/gpt3-sandbox) Enable users to create cool web demos using OpenAI GPT-3 API. + [Exploring the Capabilities of the ChatGPT API: A Beginner’s Guide](https://levelup.gitconnected.com/exploring-the-capabilities-of-the-chatgpt-api-a-beginners-guide-e9089d49961f) + [Reverse engineered ChatGPT API](https://github.com/acheong08/ChatGPT)  **Prompting programming**  ## ChatGPT relatives:   [A Release Timeline](https://github.com/osanseviero/ml_timeline) of many LLMs.,shell,PROGLANG
"Further, you have to uncomment the respective reasoners in the `getReasoners()` function of the java file `org.unima.nheist.App`.",java,PROGLANG
"# DiHT ""Filtering, Distillation, and Hard Negatives for Vision-Language Pre-Training"" [[Paper](https://arxiv.org/abs/2301.02280)]  ## Installation  ```bash git clone https://github.com/facebookresearch/diht cd diht pip install -r requirements.txt pip install -e",bash,PROGLANG
"# To install as an editable package ```  You can use `pip install .` to install the codebase as a non-editable package.  ## Example  ```python import torch  from diht import model_zoo from PIL import Image   text_tokenizer, image_transform, model = model_zoo.load_model(     ""diht_vitl14_336px"", is_train=False )  image = Image.open(""infer_image.png"").convert(""RGB"") image = image_transform(image).unsqueeze(0) text_captions = [""a mountain"", ""a beach"", ""a desert""] text = text_tokenizer(text_captions)  with torch.no_grad():     image_features, text_features, logit_scale = model(image, text)     logits_per_image = logit_scale * image_features @ text_features.T     probs = logits_per_image.softmax(dim=-1).numpy()  print(f""text captions: {text_captions}"") print(f""text caption probs: {probs}"") ```  The above code snippet should output ```bash text captions: ['a mountain', 'a beach', 'a desert'] text caption probs: [[0.99370664 0.00514017 0.00115326]] ```  ## Running on GPU/CPU  By default the model runs on CPU, to run on GPU you can do `model = model.to(torch.device(""cuda""))`.",python,PROGLANG
"# To install as an editable package ```  You can use `pip install .` to install the codebase as a non-editable package.  ## Example  ```python import torch  from diht import model_zoo from PIL import Image   text_tokenizer, image_transform, model = model_zoo.load_model(     ""diht_vitl14_336px"", is_train=False )  image = Image.open(""infer_image.png"").convert(""RGB"") image = image_transform(image).unsqueeze(0) text_captions = [""a mountain"", ""a beach"", ""a desert""] text = text_tokenizer(text_captions)  with torch.no_grad():     image_features, text_features, logit_scale = model(image, text)     logits_per_image = logit_scale * image_features @ text_features.T     probs = logits_per_image.softmax(dim=-1).numpy()  print(f""text captions: {text_captions}"") print(f""text caption probs: {probs}"") ```  The above code snippet should output ```bash text captions: ['a mountain', 'a beach', 'a desert'] text caption probs: [[0.99370664 0.00514017 0.00115326]] ```  ## Running on GPU/CPU  By default the model runs on CPU, to run on GPU you can do `model = model.to(torch.device(""cuda""))`.",bash,PROGLANG
The image and text tensors will also have to be transferred accordingly.  ## Available Models  ```python import diht   print(diht.available_models()) ```  ## Example ImageNet-1K zero-shot evaluation  A simple image classification zero-shot evaluation using a single GPU can be performed by running: > **Note**: Download ImageNet-1K dataset from the original website.,python,PROGLANG
Edit `IMAGENET_ROOT` in `example_imagenet_eval.py` to match the location on your machine. ``` python example_imagenet_eval.py ``` For DiHT-L/14@336 the output should look like: ``` ImageNet1K acc@1 for diht_vitl14_336px: 77.9 ```  ## Example retrieval zero-shot evaluation  A simple retrieval zero-shot evaluation using a single GPU can be performed by running: > **Note**: Download COCO and Flickr30K datasets from the original websites.,python,PROGLANG
"Edit `COCO_ROOT` and `FLICKR30K_ROOT` in `example_retrieval_eval.py` to match the locations on your machine. ``` python example_retrieval_eval.py ``` For DiHT-L/14@336 the output should look like: ``` COCO T2I r@1 for diht_vitl14_336px: 49.3 COCO I2T r@1 for diht_vitl14_336px: 65.3  Flickr30K T2I r@1 for diht_vitl14_336px: 78.2 Flickr30K I2T r@1 for diht_vitl14_336px: 91.1 ```  ## Zero-shot model performance  | Model | ImageNet-1K | COCO T2I | COCO I2T | Flickr30K T2I | Flickr30K I2T | | :---  |    :----:   |  :----:  |  :----:  |     :----:    |     :----:    | |       |  Accuracy@1 | Recall@1 | Recall@1 |    Recall@1   |    Recall@1   | | diht_vitb32_224px      | 68.0 | 40.6 | 59.3 | 68.6 | 84.4 | | diht_vitb16_224px      | 72.2 | 43.3 | 60.3 | 72.9 | 89.8 | | diht_vitl14_224px      | 77.0 | 48.0 | 65.1 | 76.7 | 92.0 | | diht_vitl14_336px      | 77.9 | 49.3 | 65.3 | 78.2 | 91.1 |   ## Citation If you find this model useful, please consider citing our preprint using the citation below. ``` @article{rdk+23,   title = {Filtering, Distillation, and Hard Negatives for Vision-Language Pre-Training},   author = {Radenovic, Filip and Dubey, Abhimanyu and Kadian, Abhishek and Mihaylov, Todor and Vandenhende, Simon and Patel, Yash and Wen, Yi and Ramanathan, Vignesh and Mahajan, Dhruv},   journal = {arXiv:2301.02280},   year = {2023} } ```  ## License ``` Copyright (c) Meta Platforms, Inc. and affiliates.",python,PROGLANG
"Alemi},         year={2019},         eprint={1905.00075},         archivePrefix={arXiv},         primaryClass={cs.IR}     }  ## Setup on Linux  Install the required system packages (or use an alternative Python distribution of your choice).",Python,PROGLANG
For Debian / Ubuntu / similar:      sudo apt install python3 python3-pip python3-virtualenv poppler-utils  Download the code and prepare the python environment:      git clone https://github.com/mattbierbaum/arxiv-public-datasets     cd arxiv-public-datasets      virtualenv venv     . venv/bin/activate      pip3 install -e .,python3,PROGLANG
For Debian / Ubuntu / similar:      sudo apt install python3 python3-pip python3-virtualenv poppler-utils  Download the code and prepare the python environment:      git clone https://github.com/mattbierbaum/arxiv-public-datasets     cd arxiv-public-datasets      virtualenv venv     . venv/bin/activate      pip3 install -e .,python3,PROGLANG
For Debian / Ubuntu / similar:      sudo apt install python3 python3-pip python3-virtualenv poppler-utils  Download the code and prepare the python environment:      git clone https://github.com/mattbierbaum/arxiv-public-datasets     cd arxiv-public-datasets      virtualenv venv     . venv/bin/activate      pip3 install -e .,python,PROGLANG
This code uses [python3.x](https://www.python.org/downloads/) (version 3.6 and higher) and requires the [Gurobi](https://www.gurobi.com/) solver.,python3.x,PROGLANG
"Change the hard code in `model_runs.py` to change the according target column - If results output file `-f file` is `None` the `models_run.py` calls automatically generates a `.csv` results file with the parameters of the function call as the file name saved to the `\results_files` folder - `-e model_extras`, `-p priorities`, and `-f file` may be `None` input arguments, all others must hold a valid value  *** Call the `model_runs.py` `main` function within a python file as follows to generate a model ignorning our second objective,  ```python import model_runs  data_names = ['soybean_small', 'monk3', 'car', 'iris', 'climate'] heights = [3, 4, 5] models = ['MCF1', 'MCF2', 'CUT1-ALL', 'CUT2-FRAC-3'] time_limit = 3600 extras = ['max_features-25'] rand_seed = [13, 58, 94, None] tuning = None file = 'example_code_output.csv' consol_log = False model_runs.main(   [""-d"", data_names, ""-h"", heights, ""-m"", models, ""-t"", time_limit,    ""-e"", extras, ""-r"", rand_seed, ""-f"", file, ""-l"", consol_log]) ``` To run from terminal do the following, ```bash python3 import model_runs; model_runs.main -d ['soybean-small','monk3','car','iris','climate'] -h [3,4,5] -m ['MCF1','MCF2','CUT1-ALL','CUT2-FRAC-3'] -t 3600 -e ['max_features-25'] -r [13, 58, 94, None] -c None -f 'test_results.csv' -l False ```  *** ## Bi-objective Modeling Call the `biobjective` function within a python file as follows to generate a model using the heirarchical modeling capabilities of Gurobi  ```python import model_runs  data_names = ['ionosphere', 'monk2', 'breat_cancer', 'climate'] height = 5 models = ['MCF1', 'MCF2', 'CUT1-ALL', 'CUT2-FRAC-3'] time_limit = 3600 rand_seed = [13, 58, 94, None] priorities = ['data','equal'] file = 'biobj_example.csv' consol_log = False model_runs.biobjective(   [""-d"", data_names, ""-h"", height, ""-m"", models, ""-t"", time_limit,    ""-p"", priorities, ""-r"", rand_seed, ""-f"", file, ""-l"", consol_log]) ``` To run from terminal do the following, ```bash python3 import model_runs; model_runs.biobjective -d ['ionosphere', 'monk2', 'breat_cancer', 'climate'] -h 5 -m ['MCF1','MCF2','CUT1-ALL','CUT2-FRAC-3'] -t 3600 -p ['data','equal'] -r [13, 58, 94, None] -f 'biobj_example.csv' -l False ```  *** ## Pareto Frontier To generate the Pareto frontier call the `main` function in `pareto_runs.py` with the below parameters:   - d : str list, names of dataset files   - h : int, maximum depth of trained trees   - t : float, gurobi model time limit in s   - m : str list, models to use   - r : str list, random state(s) to use   - f : str, results output file .csv  A `.png` file for each dataset called by the user is generated and stored in `\results_figures\` folder  We assume `-f file` is located in the `\results_files` folder - If results output file `-f file` is `None` the `pareto` function automatically generates a `.csv` results file with the parameters of the function call as the file name saved to the `\results_files` folder  You can generate pareto frontiers from within a python file as follows,  ```python import model_runs  height = 4 models = ['FlowOCT', 'MCF1', 'MCF2', 'CUT1', 'CUT2'] rand_states = [15, 78, 0] data_names = ['hayes_roth', 'house_votes_84'] file = 'pareto_example.csv' model_runs.pareto([""-d"", data_names, ""-h"", height, ""-m"", models, ""-t"", 3600, ""-r"", rand_states, ""-f"", file]) ```  To run from terminal do the following  ```bash python3 import model_runs; model_runs.pareto -d ['hayes_roth', 'house_votes_84'] -h 4 -m ['FOCT', 'MCF1', 'MCF2', 'CUT1', 'CUT2'] -t 3600 -r [15, 78, 0] -f 'pareto_example.csv' ``` - Note: `FlowOCT` must be the model name to generate the pareto frontier of FlowOCT ***  ## Models Functionality For understanding model functionality associated with integer and fractional separation procedures in **CUT1** and **CUT2** models, `-e model_extras` and `-c tuning` functionality please refer to the `USAGE.md` file.",python,PROGLANG
"Change the hard code in `model_runs.py` to change the according target column - If results output file `-f file` is `None` the `models_run.py` calls automatically generates a `.csv` results file with the parameters of the function call as the file name saved to the `\results_files` folder - `-e model_extras`, `-p priorities`, and `-f file` may be `None` input arguments, all others must hold a valid value  *** Call the `model_runs.py` `main` function within a python file as follows to generate a model ignorning our second objective,  ```python import model_runs  data_names = ['soybean_small', 'monk3', 'car', 'iris', 'climate'] heights = [3, 4, 5] models = ['MCF1', 'MCF2', 'CUT1-ALL', 'CUT2-FRAC-3'] time_limit = 3600 extras = ['max_features-25'] rand_seed = [13, 58, 94, None] tuning = None file = 'example_code_output.csv' consol_log = False model_runs.main(   [""-d"", data_names, ""-h"", heights, ""-m"", models, ""-t"", time_limit,    ""-e"", extras, ""-r"", rand_seed, ""-f"", file, ""-l"", consol_log]) ``` To run from terminal do the following, ```bash python3 import model_runs; model_runs.main -d ['soybean-small','monk3','car','iris','climate'] -h [3,4,5] -m ['MCF1','MCF2','CUT1-ALL','CUT2-FRAC-3'] -t 3600 -e ['max_features-25'] -r [13, 58, 94, None] -c None -f 'test_results.csv' -l False ```  *** ## Bi-objective Modeling Call the `biobjective` function within a python file as follows to generate a model using the heirarchical modeling capabilities of Gurobi  ```python import model_runs  data_names = ['ionosphere', 'monk2', 'breat_cancer', 'climate'] height = 5 models = ['MCF1', 'MCF2', 'CUT1-ALL', 'CUT2-FRAC-3'] time_limit = 3600 rand_seed = [13, 58, 94, None] priorities = ['data','equal'] file = 'biobj_example.csv' consol_log = False model_runs.biobjective(   [""-d"", data_names, ""-h"", height, ""-m"", models, ""-t"", time_limit,    ""-p"", priorities, ""-r"", rand_seed, ""-f"", file, ""-l"", consol_log]) ``` To run from terminal do the following, ```bash python3 import model_runs; model_runs.biobjective -d ['ionosphere', 'monk2', 'breat_cancer', 'climate'] -h 5 -m ['MCF1','MCF2','CUT1-ALL','CUT2-FRAC-3'] -t 3600 -p ['data','equal'] -r [13, 58, 94, None] -f 'biobj_example.csv' -l False ```  *** ## Pareto Frontier To generate the Pareto frontier call the `main` function in `pareto_runs.py` with the below parameters:   - d : str list, names of dataset files   - h : int, maximum depth of trained trees   - t : float, gurobi model time limit in s   - m : str list, models to use   - r : str list, random state(s) to use   - f : str, results output file .csv  A `.png` file for each dataset called by the user is generated and stored in `\results_figures\` folder  We assume `-f file` is located in the `\results_files` folder - If results output file `-f file` is `None` the `pareto` function automatically generates a `.csv` results file with the parameters of the function call as the file name saved to the `\results_files` folder  You can generate pareto frontiers from within a python file as follows,  ```python import model_runs  height = 4 models = ['FlowOCT', 'MCF1', 'MCF2', 'CUT1', 'CUT2'] rand_states = [15, 78, 0] data_names = ['hayes_roth', 'house_votes_84'] file = 'pareto_example.csv' model_runs.pareto([""-d"", data_names, ""-h"", height, ""-m"", models, ""-t"", 3600, ""-r"", rand_states, ""-f"", file]) ```  To run from terminal do the following  ```bash python3 import model_runs; model_runs.pareto -d ['hayes_roth', 'house_votes_84'] -h 4 -m ['FOCT', 'MCF1', 'MCF2', 'CUT1', 'CUT2'] -t 3600 -r [15, 78, 0] -f 'pareto_example.csv' ``` - Note: `FlowOCT` must be the model name to generate the pareto frontier of FlowOCT ***  ## Models Functionality For understanding model functionality associated with integer and fractional separation procedures in **CUT1** and **CUT2** models, `-e model_extras` and `-c tuning` functionality please refer to the `USAGE.md` file.",python,PROGLANG
