#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[403]	ONTOLOGY[57]|DATASET[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|PROJECT[57]|CONFERENCE[403]
1-9	17-28	Equivariant	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-10	29-34	Graph	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-11	35-41	Neural	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-12	42-50	Networks	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-13	51-55	with	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-14	56-63	Virtual	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-15	64-69	Nodes	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-16	70-77	Enhance	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-17	78-85	Protein	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-18	86-93	Binding	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-19	94-98	Site	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-20	99-113	Identification	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-21	115-116	\[	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-22	116-117	!	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]

#Text=\[Open in HuggingFace\](https://huggingface.co/datasets/huggingface/badges/raw/main/open-in-hf-spaces-sm.svg)\](https://huggingface.co/spaces/ml-jku/vnegnn) \[!
2-1	117-118	\[	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-2	118-122	Open	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-3	123-125	in	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-4	126-137	HuggingFace	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-5	137-138	\]	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-6	138-139	(	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-7	139-144	https	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-8	144-145	:	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-9	145-146	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-10	146-147	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-11	147-161	huggingface.co	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-12	161-162	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-13	162-170	datasets	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-14	170-171	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-15	171-182	huggingface	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-16	182-183	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-17	183-189	badges	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-18	189-190	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-19	190-193	raw	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-20	193-194	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-21	194-198	main	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-22	198-199	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-23	199-223	open-in-hf-spaces-sm.svg	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-24	223-224	)	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-25	224-225	\]	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-26	225-226	(	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-27	226-231	https	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-28	231-232	:	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-29	232-233	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-30	233-234	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-31	234-248	huggingface.co	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-32	248-249	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-33	249-255	spaces	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-34	255-256	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-35	256-262	ml-jku	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-36	262-263	/	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-37	263-269	vnegnn	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-38	269-270	)	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-39	271-272	\[	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]
2-40	272-273	!	*[365]	ONTOLOGY[365]|DATASET[365]|EVALMETRIC[365]|SOFTWARE[365]|PUBLICATION[365]|CONFERENCE[365]|WORKSHOP[365]|PROGLANG[365]|LICENSE[365]|PROJECT[365]

#Text=\[\](https://img.shields.io/badge/paper-arxiv2310.06763-red?
3-1	273-274	\[	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-2	274-275	\]	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-3	275-276	(	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-4	276-281	https	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-5	281-282	:	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-6	282-283	/	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-7	283-284	/	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-8	284-298	img.shields.io	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-9	298-299	/	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-10	299-304	badge	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-11	304-305	/	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-12	305-326	paper-arxiv2310.06763	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-13	326-327	-	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-14	327-330	red	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]
3-15	330-331	?	*[366]	EVALMETRIC[366]|CONFERENCE[366]|SOFTWARE[366]|PROGLANG[366]|WORKSHOP[366]|PROJECT[366]|LICENSE[366]|DATASET[366]|PUBLICATION[366]|ONTOLOGY[366]

#Text=style=plastic&logo=GitBook)\](https://arxiv.org/abs/2404.07194) \[!
4-1	331-336	style	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-2	336-337	=	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-3	337-344	plastic	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-4	344-345	&	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-5	345-349	logo	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-6	349-350	=	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-7	350-357	GitBook	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-8	357-358	)	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-9	358-359	\]	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-10	359-360	(	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-11	360-365	https	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-12	365-366	:	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-13	366-367	/	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-14	367-368	/	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-15	368-377	arxiv.org	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-16	377-378	/	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-17	378-381	abs	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-18	381-382	/	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-19	382-392	2404.07194	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-20	392-393	)	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-21	394-395	\[	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]
4-22	395-396	!	*[367]	PROGLANG[367]|WORKSHOP[367]|LICENSE[367]|DATASET[367]|ONTOLOGY[367]|PROJECT[367]|EVALMETRIC[367]|SOFTWARE[367]|PUBLICATION[367]|CONFERENCE[367]

#Text=\[\](https://img.shields.io/badge/model-pink?
5-1	396-397	\[	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-2	397-398	\]	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-3	398-399	(	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-4	399-404	https	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-5	404-405	:	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-6	405-406	/	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-7	406-407	/	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-8	407-421	img.shields.io	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-9	421-422	/	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-10	422-427	badge	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-11	427-428	/	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
5-12	428-438	model-pink	*[368]	LICENSE[368]|PROJECT[368]|PUBLICATION[368]|DATASET[368]|ONTOLOGY[368]|EVALMETRIC[368]|SOFTWARE[368]|PROGLANG[368]|CONFERENCE[368]|WORKSHOP[368]
