#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[72]	DATASET[57]|ONTOLOGY[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|PROJECT[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|CONFERENCE[72]
1-31	31-32	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-32	32-33	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-33	33-34	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-34	34-35	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-35	35-36	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-36	36-37	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-37	37-38	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-38	38-39	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-39	39-40	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-40	40-41	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-41	41-42	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-42	42-43	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-43	43-44	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-44	44-45	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-45	45-46	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-46	46-47	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-47	47-48	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-48	48-49	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-49	49-50	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-50	50-51	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-51	51-52	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-52	52-53	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-53	53-54	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-54	54-55	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-55	55-56	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-56	56-57	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-57	57-58	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-58	58-59	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-59	59-60	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-60	60-61	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-61	61-62	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-62	62-63	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-63	63-64	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-64	64-65	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-65	65-66	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-66	66-67	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-67	67-68	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-68	68-69	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-69	71-77	Source	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-70	78-82	code	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-71	83-86	and	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-72	87-95	datasets	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-73	96-98	of	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-74	99-108	Para-DPMM	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-75	109-114	model	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-76	115-118	for	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-77	119-125	single	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-78	126-130	cell	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-79	131-145	transcriptomic	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-80	146-156	clustering	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-81	157-159	to	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-82	160-169	reproduce	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-83	170-177	results	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-84	178-180	in	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-85	181-186	paper	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
