#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=  
0-0	0-2	 	*[720]|*[1100]	PROGLANG[720]|WORKSHOP[720]|LICENSE[720]|ONTOLOGY[720]|PROJECT[720]|SOFTWARE[720]|DATASET[720]|EVALMETRIC[720]|PUBLICATION[720]|CONFERENCE[1100]
4-9	88-102	img.shields.io	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-10	102-103	/	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-11	103-109	github	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-12	109-110	/	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-13	110-117	license	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-14	117-118	/	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-15	118-137	benedekrozemberczki	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-16	137-138	/	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-17	138-152	karateclub.svg	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-17	138-148	karateclub	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-18	152-153	)	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-19	154-155	\[	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-20	155-156	!	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]

#Text=\[repo size\](https://img.shields.io/github/repo-size/benedekrozemberczki/karateclub.svg)\](https://github.com/benedekrozemberczki/karateclub/archive/master.zip)  \[!
5-1	156-157	\[	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-2	157-161	repo	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-3	162-166	size	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-4	166-167	\]	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-5	167-168	(	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-6	168-173	https	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-7	173-174	:	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-8	174-175	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-9	175-176	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-10	176-190	img.shields.io	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-11	190-191	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-12	191-197	github	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-13	197-198	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-14	198-207	repo-size	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-15	207-208	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-16	208-227	benedekrozemberczki	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-17	227-228	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-18	228-242	karateclub.svg	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-18	228-238	karateclub	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-19	242-243	)	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-20	243-244	\]	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-21	244-245	(	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-22	245-250	https	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-23	250-251	:	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-24	251-252	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-25	252-253	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-26	253-263	github.com	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-27	263-264	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-28	264-283	benedekrozemberczki	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-29	283-284	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-30	284-294	karateclub	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-31	294-295	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-32	295-302	archive	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-33	302-303	/	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-34	303-313	master.zip	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-35	313-314	)	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-36	316-317	\[	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]
5-37	317-318	!	*[1071]	PROGLANG[1071]|LICENSE[1071]|PROJECT[1071]|DATASET[1071]|ONTOLOGY[1071]|EVALMETRIC[1071]|SOFTWARE[1071]|PUBLICATION[1071]|CONFERENCE[1071]|WORKSHOP[1071]

#Text=\[Arxiv\](https://img.shields.io/badge/ArXiv-2003.04819-orange.svg)\](https://arxiv.org/abs/2003.04819) \[!
6-1	318-319	\[	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-2	319-324	Arxiv	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-3	324-325	\]	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-4	325-326	(	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-5	326-331	https	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-6	331-332	:	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-7	332-333	/	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-8	333-334	/	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-9	334-348	img.shields.io	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-10	348-349	/	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-11	349-354	badge	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-12	354-355	/	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-13	355-360	ArXiv	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-14	360-361	-	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-15	361-371	2003.04819	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-16	371-372	-	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-17	372-382	orange.svg	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-18	382-383	)	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-19	383-384	\]	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-20	384-385	(	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
6-21	385-390	https	*[1072]	LICENSE[1072]|DATASET[1072]|PROJECT[1072]|SOFTWARE[1072]|PUBLICATION[1072]|ONTOLOGY[1072]|EVALMETRIC[1072]|CONFERENCE[1072]|PROGLANG[1072]|WORKSHOP[1072]
